stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,1,5
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,12.31,0,0,0,0.82,2.46
 36-46,0,0,0,4.83,0.81,0,0,0,0.81,0,0,9.67,1.61,0,0,0,4.03
 48-58,0,0.57,0,4.02,1.15,0,0,0,0,0,0.57,8.61,0,0,0,0,1.72
 60-70,0,0.98,0,1.96,0.98,0,0,0,0,0,0,7.85,0,0.98,0,0,0.98
 72-82,0,0,0,1.96,1.96,0.98,0,0,0.98,0,0,4.91,0,0,0,0.98,0.98
 84-94,0,0,0,0,1.06,0,0,0,1.06,1.06,0,2.12,0,0,0,1.06,0
 96-106,0,2.19,0,3.28,0,0,0,0,1.09,0,0,2.19,0,0,0,0,0
108-118,0,0.77,0,2.3,0,0,0.77,0.77,0,0,0,3.06,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
