stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,76.23,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,21,1,0,14,0,0,1,2,0,0,0,0,0,0,1,0,8,0,0,5,76,2,0,1,1,0,4,1,17,5,1,10,23,0,0,1,0,0
 24-34,0,0,0,2.46,17.24,0.82,0,22.16,2.46,1.64,7.39,0.82,0,3.28,0.82,0,0,1.64,0.82,2.46,41.04,0,0,23.8,146.11,3.28,0,4.1,0,0,8.21,0,0,8.21,0.82,2.46,45.15,0,0,11.49,0,0.82
 36-46,0,0,0,0,8.06,0,0,19.34,1.61,6.45,16.92,0.81,0,1.61,0,0,0,2.42,0.81,4.03,78.96,0,2.42,13.7,92.65,4.03,1.61,2.42,0,0,11.28,0,0.81,11.28,0,0,34.64,0,0,12.09,0,1.61
 48-58,0,0.57,0,0,3.44,0,0,13.2,1.15,2.3,14.92,2.87,0.57,2.3,0.57,1.15,1.15,1.72,4.02,0.57,74.59,0.57,2.87,12.62,38.44,1.72,0,2.3,0,0,3.44,0,0,4.59,0,0,16.64,0,0,4.59,0,2.3
 60-70,0,0,0,0,2.94,1.96,0,8.83,0,4.91,23.56,3.93,0,2.94,0,0,0.98,2.94,1.96,0.98,86.37,0,3.93,12.76,17.67,2.94,0,0.98,0,0.98,4.91,0,0,5.89,0,0,5.89,0.98,2.94,2.94,0,1.96
 72-82,0,0,0.98,0,6.87,9.82,0,19.63,0,8.83,51.05,16.69,0,1.96,6.87,0,0.98,0.98,11.78,0,126.63,0.98,4.91,14.72,28.47,1.96,1.96,5.89,0,0.98,6.87,0,0,11.78,0,0,2.94,0,0.98,6.87,1.96,8.83
 84-94,0,0,0,0,10.62,10.62,3.19,21.24,2.12,5.31,18.05,42.48,0,2.12,5.31,1.06,8.5,4.25,13.81,4.25,90.27,0,5.31,7.43,19.12,3.19,1.06,2.12,0,0,19.12,0,0,29.74,0,0,5.31,0,4.25,7.43,5.31,6.37
 96-106,0,0,1.09,0,2.19,7.65,0,24.04,1.09,2.19,22.95,38.25,0,1.09,3.28,1.09,7.65,6.56,21.86,2.19,68.85,4.37,12.02,13.11,13.11,0,3.28,10.93,0,0,16.39,0,0,29.51,0,0,3.28,3.28,2.19,10.93,1.09,3.28
108-118,0,0,0,0.77,12.26,6.89,0.77,17.62,1.53,3.83,17.62,39.06,0,0,3.06,1.53,19.92,0.77,18.38,2.3,60.51,0.77,0.77,9.96,29.87,1.53,1.53,8.43,0,2.3,21.45,0,0,30.64,0,0,3.06,4.6,2.3,6.89,2.3,3.83
120,0,0,0,0,1.96,9.8,0,11.76,5.88,1.96,9.8,21.56,0,0,3.92,0,5.88,1.96,13.72,0,31.36,1.96,0,7.84,13.72,0,3.92,0,0,0,17.64,0,0,25.48,0,0,1.96,3.92,0,3.92,0,1.96
