stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,3,0,0,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0,1.64,0,0,0.82,11.49,0,0,0,0,0,0,0,4.1,0,0,0,0
 36-46,0,0,0,35.45,0,0,3.22,0,0,0,0,0,0,0,0,10.47,0,0.81,0,0,0,0.81,0,3.22,0,0,0,0
 48-58,0,0.57,0,269.11,0,0,2.87,0,0,0,0,2.87,0,0,0.57,22.38,0,0,0,0,0,0.57,0,2.3,0,0.57,0,0
 60-70,0,0.98,0,690.01,0,2.94,1.96,0.98,0,0,0,1.96,0,0,0,37.3,0,0.98,0,0,0,0.98,0,1.96,0,0,0,1.96
 72-82,0,0.98,0.98,839.32,0,0,0.98,0,0,0,0,9.82,0,0.98,0,30.43,0,0.98,0.98,0,0.98,1.96,0,0.98,0,0.98,0,0
 84-94,0,4.25,0,729.62,1.06,2.12,5.31,1.06,0,0,0,7.43,0,1.06,1.06,9.56,1.06,1.06,0,0,0,0,0,3.19,0,0,1.06,0
 96-106,0,1.09,1.09,434.95,1.09,0,2.19,0,0,0,0,3.28,1.09,1.09,2.19,7.65,0,0,0,0,0,0,0,0,1.09,1.09,0,0
108-118,0,1.53,0.77,284.94,0,0,2.3,0,1.53,0,0.77,5.36,0,0,0,13.79,0,0,0.77,0,0,0,0,0,0,1.53,0.77,0
120,0,1.96,3.92,229.29,0,0,3.92,0,0,1.96,0,0,0,0,0,9.8,1.96,0,0,0,0,0,0,0,0,0,0,0
