stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,4,184,7,0,0,0,0,0,0,3,0,0,1,0,6,64,0,0,34,48,20,0,0,1,0,0,0,3,1,4,11,0,0,77,0,5
 24-34,0,7.39,18.88,6.57,0,0.82,13.95,1.64,0,0,13.95,0,0,4.1,0.82,22.16,362.82,0.82,0,130.52,118.2,44.33,0,0,0,0.82,2.46,0,0,0,9.03,17.24,0,0,260.21,0,42.68
 36-46,0,5.64,4.03,8.86,3.22,2.42,29,11.28,0,4.03,8.86,0,0,6.45,0.81,13.7,467.29,0,1.61,136.16,85.4,52.37,0,0,0,0,0,0,0,0,0,30.62,0,0,203.03,0.81,49.15
 48-58,0.57,3.44,1.15,20.66,0.57,1.72,28.12,43.61,0,1.72,18.36,0.57,0,6.31,0,14.92,618.56,0.57,8.03,65.99,113.04,37.3,0,0,0,0,5.16,0,0,0,0,26.97,0,1.72,172.14,0,43.04
 60-70,0.98,3.93,0.98,21.59,0,1.96,24.54,84.41,2.94,0.98,21.59,0.98,0,6.87,0,6.87,854.91,0.98,19.63,58.89,118.76,18.65,1.96,0,0,2.94,2.94,0,0,0.98,0,27.48,0,10.8,165.88,3.93,51.04
 72-82,0,5.89,0.98,59.88,1.96,1.96,45.16,132.52,0.98,0.98,28.47,1.96,0.98,8.83,0.98,4.91,990.5,0,31.41,61.84,126.63,19.63,0,0.98,0,6.87,8.83,0,0,0,0,4.91,0,19.63,302.35,23.56,52.03
 84-94,0,12.74,1.06,62.66,0,2.12,33.99,83.9,4.25,0,14.87,1.06,0,15.93,0,22.3,685.01,1.06,28.68,38.23,83.9,33.99,0,3.19,0,5.31,15.93,0,0,1.06,0,9.56,0,24.43,267.63,14.87,48.85
 96-106,0,14.21,2.19,33.88,1.09,0,17.49,90.71,2.19,0,32.79,2.19,0,19.67,3.28,14.21,569.37,2.19,17.49,26.23,100.54,31.69,1.09,1.09,0,10.93,17.49,0,0,2.19,0,5.46,1.09,18.58,325.67,20.76,56.83
108-118,0.77,9.96,2.3,22.21,0.77,3.83,16.85,87.32,6.13,0,16.09,4.6,1.53,34.47,0.77,24.51,491.75,0.77,12.26,32.94,72.77,25.28,0,0,0,9.96,8.43,0,0,2.3,0,5.36,1.53,7.66,262.73,15.32,65.87
120,0,19.6,3.92,11.76,1.96,0,11.76,94.07,5.88,1.96,11.76,7.84,0,19.6,3.92,11.76,370.4,0,9.8,31.36,76.43,45.08,1.96,0,0,7.84,5.88,0,0,1.96,0,7.84,0,7.84,241.05,9.8,23.52
