stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vasculature
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,1,0,2,1
 24-34,0,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0,0.82,0,0,11.49,0,0,0,0,2.46,0,1.64,0
 36-46,0,0,0,0,3.22,0.81,0.81,0,0,0.81,0,0,0,0,0.81,0,0,8.06,0,0.81,0,0,1.61,0,0.81,1.61
 48-58,0,0,0,0,8.03,0,1.72,0,0.57,0,0,0,0,0,1.15,0.57,0.57,5.74,0,0,0,0,4.02,0.57,3.44,0.57
 60-70,0,0,0,1.96,5.89,0,0,0,0,0,0,0,0,0.98,1.96,0,0,6.87,0,0,0,0,2.94,0,1.96,0.98
 72-82,0,0,0.98,0.98,3.93,0,0.98,0,0,0,0.98,0,0,0,1.96,0,0,8.83,0,0.98,0,0,3.93,0,0.98,0
 84-94,0,0,1.06,0,2.12,0,2.12,0,0,0,0,0,0,1.06,2.12,1.06,0,4.25,0,0,0,0,5.31,0,0,1.06
 96-106,0,0,2.19,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0,1.09,1.09,2.19,0,0,1.09
108-118,0,0,0,0,3.06,0,0.77,0.77,0,0,0.77,0.77,0,0,3.83,0,1.53,7.66,0,0.77,0,0,2.3,0,0,0
120,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,1.96,0,0,0,0,7.84,1.96,0,0,0,7.84,0,0,1.96
