stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0
 24-34,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,4.1,0,0,0,0
 36-46,0,0,0,9.67,0,0,0,0.81,0,0,0,0,0,0,0,0,4.83,0,0,0,11.28,0,1.61,0,0,0,0,0,16.92,0,0,0,0
 48-58,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,18.94,0,0,0,0,0,0,0,11.48,0,0,0,0.57
 60-70,0,1.96,0,145.27,0,0,0,1.96,0,1.96,0,0,0,0,0,0,6.87,0,0,0,26.5,0,0,0,0,0,0,0,3.93,0.98,0,0,0
 72-82,0,12.76,1.96,911.96,0,0.98,1.96,24.54,0.98,0,0,0,0,0.98,0,0,21.6,0,0,2.94,74.61,0,0.98,0,0,1.96,0,0.98,5.89,2.94,1.96,2.94,1.96
 84-94,0,13.81,3.19,909.1,0,0,0,15.93,1.06,0,1.06,1.06,1.06,2.12,0,0,15.93,0,0,2.12,49.92,0,0,2.12,0,2.12,0,0,5.31,0,0,1.06,0
 96-106,0,20.76,6.56,1113.61,3.28,5.46,1.09,18.58,2.19,0,2.19,0,0,1.09,1.09,4.37,18.58,0,1.09,0,73.22,1.09,1.09,1.09,0,3.28,2.19,1.09,1.09,0,1.09,0,2.19
108-118,0,7.66,3.06,855.58,0.77,1.53,0.77,17.62,1.53,0,0,2.3,0.77,0.77,0.77,2.3,15.32,0,0.77,3.06,78.89,1.53,2.3,1.53,0,8.43,0.77,0.77,0,1.53,0,2.3,0.77
120,0,11.76,3.92,964.21,0,1.96,0,17.64,0,0,0,1.96,1.96,0,0,0,3.92,1.96,0,7.84,45.08,0,0,0,0,1.96,0,0,1.96,0,1.96,0,1.96
