stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,40,1,1,0,0,0,0,4,0,32,31,11,0,0,1,0,0
 24-34,0,0.82,3.28,0,0,0.82,0,0,0,4.1,0,0,0,0,0,0,0,0,4.93,0,0,12.31,367.74,0,2.46,0,0,0,1.64,0,0,4.1,5.75,87.83,0,0,0,0,0
 36-46,0,0,0,0,0,27.39,0,0,0,27.39,0,0.81,0,0.81,0,0.81,0,0,34.64,0,0,16.11,826.62,0.81,0.81,0,0,0,0.81,0,0,1.61,0,223.17,0,0,1.61,0,0
 48-58,0,0,4.02,0,0,217.47,0,2.3,0.57,49.92,0,1.15,0.57,0.57,0,0,0.57,0.57,42.46,0,1.72,15.49,781.52,0,0,0,0,0,2.3,0,0,0.57,0,250.18,0,0,0,0,1.15
 60-70,0,0,7.85,0,0,645.84,0,0,0.98,21.59,0,0,0,0,0.98,0,0,0.98,42.21,0,1.96,13.74,634.06,0,0,0,0,0,0,0,1.96,0,0,127.6,0.98,0.98,1.96,0,0.98
 72-82,0,3.93,5.89,0,0,705.81,0,0,0.98,30.43,2.94,0,0.98,0,0.98,0,0.98,0,60.86,0,2.94,12.76,638.08,0,0,0.98,0,0.98,0.98,0,0,0,0,51.05,0,0.98,0.98,0,2.94
 84-94,0,0,9.56,1.06,0,394.02,1.06,1.06,0,29.74,1.06,1.06,1.06,0,1.06,0,1.06,0,33.99,1.06,2.12,13.81,323.92,0,0,2.12,0,0,5.31,0,1.06,3.19,0,36.11,0,1.06,4.25,2.12,0
 96-106,0,3.28,14.21,5.46,0,350.8,1.09,1.09,1.09,36.06,1.09,1.09,2.19,1.09,0,3.28,2.19,0,38.25,1.09,4.37,6.56,272.12,0,0,1.09,0,0,2.19,0,2.19,2.19,0,10.93,0,1.09,5.46,1.09,1.09
108-118,0,0,6.89,0.77,0.77,229.79,0,0,0.77,13.79,0,0.77,0.77,0.77,0,0,0,0,17.62,0,0.77,6.13,308.68,0.77,0.77,0,0,0,0.77,0,0,1.53,0,6.89,0.77,1.53,2.3,0.77,0
120,0,0,7.84,0,0,237.13,1.96,1.96,0,19.6,0,0,7.84,0,0,0,0,0,19.6,0,0,3.92,319.45,0,0,1.96,0,0,1.96,0,0,1.96,0,1.96,0,1.96,0,0,0
