stage,eye,fin_epithelia,glial,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,14.78,0,0,5.75,0
 36-46,0,0,1.61,0,0,0,0,24.98,0.81,0,7.25,0
 48-58,4.02,0,0.57,0,0,0,0.57,22.95,0,0,5.74,0
 60-70,4.91,0,2.94,0,4.91,0,0,38.28,0,0,6.87,0
 72-82,12.76,0,2.94,0,0.98,0,0,19.63,0.98,0,0.98,0.98
 84-94,6.37,0,1.06,1.06,0,1.06,0,13.81,0,0,1.06,0
 96-106,4.37,1.09,2.19,1.09,1.09,0,0,16.39,0,1.09,0,1.09
108-118,2.3,0,0.77,0,0,0,0,8.43,0,1.53,0.77,0
120,0,0,0,0,0,0,0,7.84,0,0,0,0
