stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,heart,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,13.14,0,5.26,0,0,0,0,0,0,0,0,0,39.43,0,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,66.09,0,0,0,53.5,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,4,0,0,1,14,0,0,0,1,0,4,2,0,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,0,0,0,2.46,0,0,1.64,36.12,0.82,0,0,0,1.64,0,10.67,0,0,0,0,0
 36-46,0,0,0,0.81,8.86,0.81,0,0,0.81,0,4.83,0,0,0,28.2,0.81,1.61,0,0,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,0.57,14.92,5.16,0,0,0,0,4.59,0,0,0.57,35,0,0,0,0,0,0,5.74,0,0,0.57,0,0
 60-70,0,0,0,0,24.54,3.93,0,0.98,0,0.98,5.89,0,0.98,0.98,36.32,0,0,0,0,0.98,0,5.89,0,0.98,0,0,0
 72-82,0,0,0,2.94,21.6,2.94,0,0,0.98,0,10.8,0,0,0.98,34.36,0,0,0.98,0,0,0,1.96,0.98,0.98,0,0,0
 84-94,0,0,0,0,10.62,0,1.06,0,0,0,7.43,0,1.06,0,13.81,1.06,0,0,0,1.06,0,0,2.12,0,1.06,0,0
 96-106,0,0,0,0,7.65,3.28,1.09,0,0,0,4.37,1.09,0,0,6.56,0,0,1.09,0,3.28,0,0,0,0,0,0,1.09
108-118,0,0,0,3.06,6.89,2.3,0,0,0,0,1.53,0,0,0.77,14.55,0,0.77,0,0,0,0,0,0,0.77,0,0,0.77
120,0,0,0,1.96,3.92,5.88,0,0,0,0,5.88,0,1.96,0,21.56,0,0,1.96,0,3.92,0,0,0,1.96,0,1.96,0
