stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,liver,mesenchyme,mural_cell,neural,notochord,otic,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.47,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0.57,0,25.82,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,0,0,1.96,48.09,0.98,0,0.98,0,6.87,0,0
 72-82,0,0,0,0.98,8.83,0,0,0.98,0.98,0,0.98,0,1.96,5.89,77.55,0,0,0,0,2.94,0,1.96
 84-94,0,0,1.06,0,4.25,0,1.06,0,1.06,0,0,0,1.06,7.43,46.73,0,0,0,0,3.19,0,0
 96-106,0,0,1.09,0,6.56,1.09,0,0,1.09,0,0,1.09,1.09,8.74,49.18,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0,0,0,0,0,0.77,0,0,10.72,55.15,0,0.77,0,0,0,1.53,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,15.68,52.91,0,0,0,0,0,0,0
