stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,3,0,0,2,0,0,7,0,0,0,1,0,5,0,0,2,31,0,0,0,0,0,0,2,1,8,0,0,1,0,0
 24-34,0,0,0,0,1.64,0,0,3.28,1.64,0,0.82,0,0.82,2.46,0,0,0,0,0,0.82,0,0,0.82,107.53,3.28,0,0,0,0,0,0,0,50.89,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,4.03,0,0,2.42,0,0,0.81,0,0,0,0,0,4.83,0,0,0,149.85,0.81,0.81,0,0,0,0.81,1.61,0,95.87,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,23.53,0,0.57,4.59,0.57,0.57,0.57,0,0,0.57,0,0.57,10.9,0,0.57,1.15,205.42,1.15,1.15,0,0,1.15,0,0,0,99.27,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,3.93,0,0,42.21,0,0.98,1.96,0,0,0,0,0.98,0,0,0,4.91,0,0,0.98,283.66,0.98,0,0,0,0,0,0,0,72.63,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,2.94,0,103.07,0,0,16.69,0,0.98,0,0,0,0,0,0,22.58,0.98,0.98,3.93,353.4,0.98,4.91,0,0.98,0,0,0,0,54.97,0.98,0,2.94,0,0.98
 84-94,0,0,0,0,4.25,0,0,69.03,1.06,0,16.99,2.12,0,1.06,1.06,1.06,0,0,0,14.87,0,1.06,2.12,181.61,0,3.19,0,0,3.19,0,0,0,32.92,0,0,2.12,1.06,0
 96-106,0,0,0,0,0,2.19,0,85.24,0,1.09,16.39,0,0,0,0,0,1.09,0,0,21.86,0,1.09,0,140.98,5.46,1.09,0,1.09,0,0,0,0,13.11,0,1.09,0,0,0
108-118,0,0,0,0.77,3.83,0,3.06,68.94,1.53,0,12.26,0.77,0,0,0.77,0,0,0,0,9.96,0,0.77,0,190.72,0.77,7.66,0,0,0,0,0.77,0,12.26,0,0,2.3,0.77,0
120,0,0,0,0,1.96,0,1.96,94.07,0,0,9.8,0,0,1.96,1.96,1.96,0,0,0,15.68,0,0,3.92,227.34,1.96,5.88,0,0,1.96,0,0,0,11.76,0,0,0,0,0
