stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,10.51,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,10.51,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,3.15,0,0,34.62,0,3.15,6.29,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,22,2,4,0,0,4,2,0,0,0,0,0,0,0,0,6,0,0,9,34,9,0,0,0,0,4,0,5,0,2,11,9,0,1,0,0
 24-34,0,0,0.82,0,16.42,0.82,5.75,6.57,0.82,1.64,0,0,0.82,0.82,0,0,0,0,0.82,11.49,0.82,0.82,6.57,63.21,0.82,0,0,0,0,9.03,0,0,0.82,0,0,16.42,0,9.03,0,0
 36-46,0,0,0,0,7.25,0.81,10.47,4.83,2.42,3.22,0.81,0,0,0,0,0,0,0,0,10.47,0,0,3.22,48.34,0,0.81,0,0,0,4.03,0,0,0,0,0,16.92,0,3.22,0,0.81
 48-58,0,0,0,0,2.87,0,18.36,7.46,1.72,8.03,0,0,0,0,2.3,0,0,0,0.57,18.94,0,0,4.02,52.79,0,0.57,0,0,0,13.2,0,0,0.57,0,0,20.66,0,1.72,0,0.57
 60-70,0,0,0,0,2.94,0,26.5,10.8,1.96,16.69,0,0,0.98,0,0.98,0,0.98,0,0,31.41,0,2.94,1.96,85.39,0.98,0,0.98,0,0,11.78,0,0,0,0,0,8.83,0.98,0.98,0,0
 72-82,0,0,0.98,0,6.87,0.98,35.34,3.93,3.93,29.45,0.98,0,0.98,0.98,0.98,0,0.98,0.98,0,45.16,0,1.96,1.96,82.46,0,1.96,0,0,0,15.71,0,0,0,0,0,11.78,1.96,2.94,0.98,0
 84-94,0,0,0,0,9.56,0,28.68,30.8,0,27.61,0,1.06,0,2.12,2.12,1.06,0,1.06,0,37.17,0,6.37,2.12,33.99,0,1.06,3.19,0,0,38.23,0,0,1.06,0,0,8.5,1.06,7.43,1.06,1.06
 96-106,0,0,0,0,5.46,0,28.41,8.74,1.09,18.58,1.09,0,1.09,4.37,1.09,0,3.28,1.09,1.09,38.25,0,0,6.56,39.34,0,2.19,1.09,0,1.09,17.49,0,0,0,0,0,7.65,1.09,4.37,2.19,1.09
108-118,0,0,0,0,14.55,0.77,26.04,19.92,3.06,16.09,1.53,0,0,3.06,0,3.83,1.53,0,0,35.23,2.3,0,1.53,42.89,0.77,0,1.53,0,0.77,12.26,0,0,0,0,0,1.53,0.77,3.06,0.77,2.3
120,0,0,0,0,11.76,0,13.72,13.72,0,3.92,1.96,0,0,3.92,0,0,0,0,0,25.48,0,3.92,1.96,52.91,0,0,1.96,0,1.96,19.6,1.96,0,0,0,0,5.88,1.96,0,0,0
