stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,5,0,0,0,0
 24-34,0,0,0,0,0,1.64,0.82,0,0,0,0.82,0.82,1.64,0,1.64,0,0,1.64,23.8,0,0.82,0,0.82,0,0,0,4.93,0,2.46,0,0
 36-46,0,0,0,0,0,4.03,2.42,0,0,0,0,0,0,0,1.61,0,0,0.81,10.47,1.61,0,0,0,0,0,0,4.83,0,0.81,0,0
 48-58,0.57,0,0,0,0,1.72,1.15,0,0,0,0,0,0,0.57,3.44,0,0.57,0,9.18,0,1.15,0,0,0,0,0,3.44,0,1.15,0,0
 60-70,0,0,0,0,0,4.91,2.94,2.94,0,0,0.98,0,0,0,1.96,0,0,0,4.91,0,0.98,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,7.85,0,0,0,0,1.96,2.94,12.76,0,0,0,0,0.98,0,1.96,0,0,0,2.94,0,0.98,0,0.98,0,0,0,0,0,2.94,0,0
 84-94,7.43,2.12,0,1.06,0,1.06,1.06,23.36,1.06,0,1.06,0,1.06,0,1.06,0,0,0,2.12,0,0,0,4.25,1.06,0,0,0,1.06,1.06,0,0
 96-106,7.65,0,0,2.19,0,3.28,2.19,102.73,0,0,0,1.09,8.74,0,5.46,1.09,0,0,16.39,1.09,1.09,0,0,0,0,0,0,0,2.19,1.09,1.09
108-118,9.19,3.06,0,0.77,0.77,3.83,1.53,186.89,0,0,0.77,1.53,7.66,0.77,0.77,0.77,0,0,13.79,0,0,0,0.77,1.53,0.77,0,1.53,0,0.77,0,0.77
120,3.92,1.96,3.92,0,0,1.96,0,172.46,0,1.96,3.92,0,1.96,0,0,0,0,0,21.56,0,0,0,0,0,0,0,0,0,1.96,0,0
