stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,31.54,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,144.76,3.15,0,44.06,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,0,0,3,0,1,0,0,3,6,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,1.64,1.64,0,0,12.31,0.82,0,0,0,0,0,0,1.64,4.1,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0.81,0,0.81,0,0,1.61,0,7.25,0,0,0,0,0,0,0,0,4.83,0
 48-58,0,0,0,0.57,0,0,1.72,0,0.57,0,0.57,0,0,0,0,0,0.57,1.72,4.02,0,0.57,0,0.57,0,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,1.96,0.98,4.91,0,0,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,0,0,2.94,0.98,0,0.98,3.93,0,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0.77,0.77,0,0,0,0,0,0,0.77,0,0.77,0,0.77,0,0,0,0.77,0.77,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0
