stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,periderm,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,4.03,0,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,0,6.89,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,2.94,0,0.98,0,0
 72-82,1.96,0,0,0,0,0,0.98,0,0,11.78,0,0,0,0
 84-94,8.5,1.06,0,0,0,0,1.06,0,0,10.62,0,1.06,2.12,0
 96-106,14.21,0,0,0,6.56,1.09,1.09,0,0,12.02,1.09,0,0,1.09
108-118,13.79,0.77,0,0.77,7.66,3.06,0,0,0.77,2.3,0,3.83,0.77,0
120,0,0,0,0,0,3.92,0,0,0,1.96,0,9.8,1.96,0
