stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,iridophores,melanocytes,mesenchyme,neural,otic,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,5.75,0,0,0,0.82,1.64,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0.81,4.03,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0.57,0,0,1.15,0.57,6.89,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,7.85,0.98,0.98,0,0,0.98,0,0,8.83,0,0,0,0,1.96,0.98,0,0
 72-82,0,0.98,0,20.61,0,0.98,0,0,0,0,0.98,12.76,0,0,0,0,1.96,0,0,0
 84-94,0,1.06,0,19.12,0,0,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,9.84,0,3.28,0,1.09,0,0,1.09,3.28,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,13.02,0,0.77,0,1.53,0,0.77,0.77,3.83,0,0,0.77,0,0.77,0,0,0
120,0,0,0,19.6,0,1.96,0,3.92,0,0,0,17.64,0,1.96,0,0,0,0,3.92,0
