stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,26,239,60,0,87,0,2,0,29,14,2,3,0,10,0,0,0,1,85,0,0,110,1055,48,10,13,25,0,36,8,156,16,12,501,441,0,0,8,0,2
 24-34,0,4.1,4.93,74.7,10.67,0,169.92,0,15.6,1.64,39.4,5.75,0.82,4.1,0.82,12.31,0,5.75,1.64,8.21,195.36,3.28,0.82,97.68,2067.74,13.95,33.66,20.52,0,0,94.4,1.64,0.82,6.57,0.82,72.24,562.29,0,0,54.18,0,7.39
 36-46,0,0.81,0,37.87,3.22,0,388.33,0.81,8.86,8.06,93.46,1.61,1.61,6.45,2.42,4.83,4.03,9.67,0.81,2.42,240.09,2.42,2.42,57.2,2868.99,9.67,22.56,17.72,0,0,72.51,0.81,0.81,4.03,1.61,0,640.51,0,0.81,36.26,0,8.86
 48-58,0.57,0.57,0.57,32.71,1.15,0,743.08,0.57,14.92,13.77,174.44,4.02,1.15,6.89,4.02,2.3,5.16,5.16,2.3,3.44,276.57,1.72,9.18,64.84,2594.17,5.74,18.36,14.92,0,1.72,47.05,0,0,2.3,2.3,0.57,564.05,0,1.72,25.82,0,7.46
 60-70,0,0,0,42.21,2.94,0,1013.91,2.94,9.82,14.72,183.54,4.91,0.98,5.89,6.87,2.94,10.8,4.91,0,3.93,333.72,4.91,12.76,39.26,2443.01,6.87,7.85,16.69,0,0.98,61.84,0,0,3.93,0.98,0,338.63,0.98,6.87,26.5,2.94,8.83
 72-82,0,3.93,0.98,46.14,9.82,0.98,794.16,5.89,10.8,20.61,191.42,10.8,0.98,4.91,6.87,3.93,10.8,10.8,0.98,0,411.32,9.82,10.8,42.21,1684.53,3.93,31.41,21.6,0,2.94,54.97,0,0,2.94,0,0,142.34,8.83,13.74,52.03,4.91,6.87
 84-94,0,5.31,0,72.22,9.56,0,537.39,5.31,22.3,13.81,117.89,25.49,1.06,3.19,20.18,15.93,8.5,7.43,4.25,6.37,253.83,3.19,12.74,25.49,723.25,6.37,18.05,22.3,0,2.12,151.87,0,0,1.06,3.19,0,82.84,12.74,7.43,32.92,8.5,5.31
 96-106,0,1.09,0,69.94,14.21,0,348.62,2.19,13.11,13.11,108.19,19.67,0,2.19,17.49,9.84,7.65,10.93,7.65,1.09,229.5,8.74,9.84,25.14,603.25,3.28,30.6,21.86,0,1.09,114.75,0,0,5.46,2.19,0,36.06,9.84,2.19,38.25,7.65,7.65
108-118,0,4.6,0.77,81.96,7.66,2.3,254.3,3.06,26.04,5.36,93.45,25.28,0,4.6,22.21,9.96,12.26,8.43,4.6,6.89,153.19,3.06,10.72,13.79,676.35,0.77,24.51,18.38,0,0.77,89.62,0.77,0,8.43,7.66,0,19.92,10.72,5.36,22.98,6.13,9.96
120,0,1.96,0,109.75,15.68,0,264.57,11.76,19.6,7.84,115.63,23.52,0,5.88,41.16,7.84,5.88,5.88,5.88,3.92,143.06,7.84,5.88,17.64,732.96,5.88,5.88,17.64,0,5.88,74.47,0,0,11.76,1.96,0,23.52,9.8,9.8,21.56,3.92,5.88
