stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.61,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1383,0,0,1,0,0,0,8,0,1,0,8,0,0,0,0,5,10,0,5,53,0,1,0,0,0,5,2,0,0,2,39,0,0,0,0,0
 24-34,0,0,0,1271.51,0.82,0,9.85,0,19.7,0,9.03,0,0,0.82,1.64,0,7.39,0.82,0.82,20.52,18.06,0,11.49,174.84,0.82,1.64,0.82,0,0,16.42,0,2.46,1.64,2.46,66.49,0,0,3.28,0,0
 36-46,0,0,0,697.71,0,0,9.67,0.81,29.81,0,5.64,0,0,0,1.61,0,8.06,0.81,0.81,29,11.28,0.81,3.22,89.43,0.81,3.22,0.81,0,0,12.09,0,0.81,0,0,37.87,0,0,0,0,0
 48-58,0,0,0,596.18,0,0,25.25,0.57,46.48,0.57,6.31,0,0,0,0,0,4.02,0,0,43.61,7.46,0.57,4.02,68.86,0,0,1.72,0,0,4.59,0,0,0,0,12.62,0,0,0.57,0,0.57
 60-70,0,0,0,575.17,0,0,20.61,0,40.24,0,3.93,0,0,0,0.98,0,0.98,0,0,30.43,9.82,0.98,3.93,32.39,0,0,2.94,0,0,2.94,0,0,0,0,3.93,0.98,0,1.96,1.96,0
 72-82,0,0,0,598.81,0.98,0,17.67,0,35.34,0.98,5.89,0,0,0,0,0,0,0.98,0.98,49.08,10.8,0.98,1.96,33.38,0.98,0.98,1.96,0,0,1.96,0,0,0,0,1.96,1.96,1.96,1.96,0,0
 84-94,0,0,0,1139.57,1.06,0,18.05,1.06,81.78,0,5.31,3.19,0,0,0,1.06,0,0,0,35.05,13.81,0,2.12,21.24,0,0,3.19,0,0,1.06,0,1.06,0,0,3.19,6.37,0,1.06,2.12,0
 96-106,0,0,0,1103.78,0,1.09,4.37,0,66.66,0,9.84,7.65,0,1.09,0,0,1.09,1.09,0,28.41,19.67,0,0,20.76,0,0,4.37,0,1.09,2.19,0,0,0,0,0,1.09,0,2.19,2.19,0
108-118,0,0,0,1044.01,0.77,0.77,5.36,0,82.72,0.77,3.83,9.19,0,0.77,0,0.77,0,0,0,27.57,8.43,1.53,0.77,16.85,0,0,2.3,0,0.77,0,0,0,0,0,0,3.83,0.77,1.53,0.77,0.77
120,0,0,0,668.29,0,0,5.88,0,54.87,0,5.88,1.96,0,1.96,0,0,0,0,0,21.56,5.88,0,0,29.4,0,0,1.96,0,0,1.96,0,1.96,0,0,3.92,0,0,0,0,0
