stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,12,0,0,0,0,0,0,0,3,3,0,1,7,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0.82,36.94,0,0.82,0.82,0,0,2.46,0,0,7.39,0,0,12.31,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,10.47,0,0,0,0.81,0,0,0,0,0,0,0,4.83,0,0,2.42,33.03,0,0,0,0.81,0,0.81,0,0,0,0.81,0,26.59,0,0,0,0,0
 48-58,0,0,0,2.3,1.15,0,8.61,0,0,0.57,0.57,0,0,0,0,0,0,0,4.02,0,0.57,3.44,24.1,0.57,0.57,0,0,0,0,0.57,0,2.87,0,0,18.36,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,141.34,0,0,0.98,1.96,0,0,0,0,0,0,0,6.87,0.98,1.96,0.98,29.45,0,2.94,0.98,0,0,0.98,0,0,9.82,0,0,2.94,0,0.98,0,0,0
 72-82,0,0,0,3.93,0.98,0,686.18,0,0.98,0.98,5.89,0,0,0,0,0,0,0.98,15.71,0,0,0,42.21,0.98,0.98,2.94,0,0.98,0,0,0,9.82,0,0,5.89,0.98,0.98,4.91,1.96,0
 84-94,0,0,0,6.37,1.06,0,709.44,1.06,0,2.12,1.06,1.06,1.06,0,0,0,0,0,12.74,0,0,1.06,16.99,1.06,2.12,1.06,0,0,1.06,0,0,23.36,0,0,4.25,0,0,2.12,2.12,1.06
 96-106,0,0,0,4.37,4.37,0,584.67,1.09,0,0,8.74,2.19,0,1.09,2.19,2.19,1.09,5.46,20.76,0,3.28,3.28,27.32,0,3.28,0,0,1.09,6.56,0,0,24.04,1.09,0,4.37,0,0,4.37,0,1.09
108-118,0,0,0,7.66,1.53,0.77,438.13,0.77,0,3.06,6.13,0,0,0,0,0.77,0,1.53,22.98,0.77,0,4.6,29.11,0,0.77,0.77,0,0,1.53,0,0,20.68,0.77,0,3.06,0,0,2.3,1.53,0.77
120,0,0,1.96,13.72,0,0,482.11,0,3.92,3.92,5.88,1.96,0,0,0,0,0,0,21.56,0,0,0,33.32,0,0,1.96,0,1.96,7.84,0,0,21.56,0,0,5.88,0,0,1.96,0,0
