stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,21.34,0,0,1.64,0,0,0,4.1,0,0,0,0,2.46,0,0,4.1,0,0,0,0,0.82,6.57,0,0,1.64,0,0,2.46,0,1.64,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,103.93,0,0,3.22,0,2.42,0,11.28,0,0,0,0,7.25,0,0.81,3.22,0,0,5.64,0,0.81,24.98,0.81,0.81,0.81,0,0,62.84,0,3.22,0,13.7,0,0,0,0,0
 48-58,0,0,0,304.69,1.15,0,34.43,0,13.77,0.57,25.25,0,0.57,1.15,0,18.36,0,1.72,1.15,0,10.33,9.75,1.15,2.3,56.23,0.57,0.57,3.44,0,0,500.36,0,1.72,0,36.15,0,0,0,0,2.3
 60-70,0,0,0,565.36,1.96,0,60.85,0,26.5,0,111.89,0,0.98,0,0.98,31.41,0,2.94,1.96,0,36.32,17.67,0.98,0.98,86.37,2.94,0,0,0,0,935.39,0,11.78,0,27.48,0,0,0,0.98,0.98
 72-82,0,0,0.98,817.72,4.91,0,96.2,0,48.1,0.98,191.42,8.83,0,0.98,2.94,76.57,0,4.91,2.94,0.98,60.86,47.12,5.89,5.89,160.01,1.96,3.93,4.91,0,0,1309.54,0.98,15.71,0,12.76,2.94,0.98,5.89,1.96,4.91
 84-94,1.06,0,0,1646.16,7.43,0,78.59,2.12,141.25,1.06,148.69,13.81,1.06,0,2.12,201.79,3.19,4.25,1.06,2.12,48.85,65.85,0,3.19,83.9,1.06,1.06,5.31,0,0,3890.24,0,45.67,0,19.12,3.19,1.06,5.31,4.25,3.19
 96-106,0,1.09,1.09,2174.77,17.49,4.37,142.07,8.74,170.48,5.46,228.4,33.88,0,3.28,9.84,204.36,0,17.49,14.21,1.09,72.13,101.63,4.37,10.93,227.31,2.19,5.46,2.19,1.09,0,3807.48,0,51.36,3.28,12.02,7.65,2.19,15.3,4.37,5.46
108-118,0.77,0,0,2138.57,9.19,6.13,65.87,0,234.38,2.3,173.11,19.15,0,1.53,6.13,237.45,1.53,10.72,9.19,0,65.87,103.41,3.06,7.66,147.06,2.3,5.36,3.06,0,0.77,3604.62,0,52.09,1.53,3.83,9.19,1.53,3.83,3.06,3.06
120,0,0,0,1591.35,5.88,3.92,52.91,1.96,156.78,3.92,145.02,11.76,0,0,15.68,127.39,0,7.84,7.84,0,23.52,58.79,0,5.88,145.02,3.92,3.92,7.84,0,1.96,1895.11,0,43.12,0,3.92,1.96,0,7.84,0,3.92
