stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,2.46,0,0,0,0,0.82,12.31,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,4.83,0,0,0,0,0,12.09,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,2.3,0,0,2.3,0,0.57,0.57,0,0,0,0,0,0,0,1.15,0,0,0,6.31,0,0,0,0,0,8.61,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,4.91,0.98,0,0,6.87,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,19.63,0,0,0,0,0,3.93,0,0,0,0,3.93,0,0
 72-82,0,0,1.96,0,2.94,0.98,70.68,43.19,0,3.93,18.65,12.76,0.98,0,1.96,1.96,0.98,0,0,3.93,0,19.63,0,0,5.89,125.65,0,2.94,1.96,0,6.87,4.91,0,0.98,0.98,0,24.54,2.94,0
 84-94,0,0,1.06,0,9.56,4.25,148.69,31.86,0,3.19,8.5,6.37,2.12,0,1.06,5.31,0,0,0,4.25,0,15.93,0,1.06,2.12,88.15,0,0,1.06,1.06,12.74,5.31,0,4.25,0,2.12,20.18,1.06,0
 96-106,0,0,3.28,0,34.97,33.88,314.74,120.21,5.46,10.93,5.46,43.71,14.21,0,5.46,15.3,8.74,4.37,3.28,21.86,0,110.38,8.74,9.84,12.02,345.34,3.28,6.56,7.65,3.28,92.89,18.58,0,5.46,6.56,1.09,32.79,9.84,3.28
108-118,0,0,4.6,1.53,57.45,19.15,650.3,196.85,4.6,13.02,16.09,68.94,25.28,0,2.3,16.09,11.49,10.72,4.6,24.51,3.06,152.43,4.6,7.66,26.81,490.98,3.06,7.66,6.13,4.6,91.15,13.79,3.06,15.32,3.83,4.6,39.83,5.36,9.96
120,0,0,0,0,80.35,21.56,295.93,141.1,5.88,7.84,13.72,56.83,19.6,0,1.96,23.52,5.88,3.92,7.84,25.48,1.96,107.79,1.96,15.68,25.48,421.35,9.8,7.84,7.84,3.92,52.91,21.56,1.96,13.72,3.92,1.96,33.32,9.8,1.96
