stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,gut,hatching.gland,heart,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,neural,paraxial.mesoderm,periderm
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,2.42
 48-58,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0,1.96
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,7.43
 96-106,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,5.46
108-118,0,0,2.3,0,0.77,0.77,0,0,0,0,1.53,1.53,0.77,0.77,0,6.13
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0
