stage,endocrine_pancreas,epidermis,eye,glial,heart,mesenchyme,mural_cell,muscle,neural,pericytes,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 14-21,0,0,0,2,0,4,0,0,12,0,1,3,0,0
 24-34,0,0.82,1.64,0,0.82,2.46,0,0.82,16.42,0,0,0,0,0
 36-46,0,0,2.42,2.42,3.22,7.25,0.81,0.81,13.7,0,0,1.61,0,0
 48-58,0,0.57,5.16,2.87,0.57,4.02,2.87,0.57,21.23,0.57,0,1.72,1.15,0
 60-70,0,0,27.48,7.85,0,3.93,2.94,1.96,14.72,0.98,0,3.93,0,0
 72-82,0.98,0.98,66.75,10.8,2.94,3.93,14.72,2.94,11.78,0.98,0,0,0.98,0.98
 84-94,0,3.19,53.1,5.31,1.06,11.68,7.43,1.06,7.43,0,0,0,0,1.06
 96-106,0,0,42.62,6.56,1.09,6.56,14.21,1.09,5.46,0,0,0,0,1.09
108-118,0,0.77,16.09,7.66,0,6.89,6.89,0,4.6,0,0,1.53,0,0.77
120,0,0,23.52,5.88,0,7.84,11.76,0,5.88,0,1.96,0,0,0
