stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,2003.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,1183.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,18.39,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,47.32,21.03,0,0,0,0,0,68.35,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,1230.24,128.81,0,0,247.1,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,25.18,0,6.29,0,50.35,0,0,0,0,0,50.35,0,0,0,0,0,0,0,0,0,0,676.6,72.38,0,0,320.99,0,0,9.44,0,28.32,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,1,1,47,10,0,9,0,0,0,3,1,2,1,0,0,0,0,0,0,16,0,17,206,17,3,1,11,0,0,0,15,6,1,29,150,0,0,0,0,0
 24-34,0,0,2.46,1.64,13.95,0,0,18.88,0,1.64,4.1,4.93,0,0,1.64,0.82,0,0,3.28,1.64,0,22.98,0,17.24,595.12,5.75,13.13,8.21,0,0,0.82,0,0,6.57,0.82,6.57,156.78,0,0,6.57,0,0.82
 36-46,0,0,1.61,0,6.45,0,0,41.89,2.42,0,0,14.5,0,0,0.81,0,0,0,2.42,0,0,32.23,0.81,7.25,960.36,3.22,14.5,1.61,0,0,1.61,0.81,0,0,0,0,163.55,0,0,3.22,0,0.81
 48-58,0,0,0.57,0,5.74,0,0,137.14,0.57,0.57,2.3,30.99,0,0,0.57,1.15,0,0,1.72,0,0.57,47.05,2.3,8.03,1095.97,0.57,7.46,7.46,0,0,2.87,0,0,0.57,0,0,192.8,0,0,2.87,0,0
 60-70,0,0,1.96,0,9.82,0,0,343.53,0.98,0,1.96,54.97,0.98,0.98,0.98,1.96,0.98,0.98,4.91,0,0,95.21,0.98,3.93,1920.84,0,14.72,10.8,0,0,1.96,0,0,0.98,0,0,181.58,1.96,1.96,0.98,1.96,0.98
 72-82,0,0,2.94,0,9.82,2.94,0,374.01,1.96,0.98,0.98,60.86,0.98,0,0,1.96,0,0,8.83,0,0,93.26,0.98,7.85,1246.71,0.98,12.76,24.54,0,0.98,3.93,0,0,0,0,0,76.57,2.94,1.96,2.94,2.94,2.94
 84-94,0,0,3.19,0,9.56,4.25,0,229.4,1.06,2.12,3.19,48.85,7.43,0,1.06,1.06,0,1.06,6.37,0,3.19,59.47,5.31,4.25,641.47,1.06,11.68,19.12,0,0,10.62,0,0,1.06,0,0,50.98,2.12,1.06,2.12,1.06,1.06
 96-106,0,0,2.19,0,7.65,2.19,0,126.77,2.19,0,0,36.06,4.37,0,2.19,2.19,1.09,0,9.84,0,1.09,31.69,2.19,7.65,456.81,0,21.86,26.23,0,0,12.02,0,0,2.19,0,0,19.67,5.46,4.37,4.37,1.09,1.09
108-118,0,0,2.3,0.77,10.72,0,1.53,77.36,0,0,0,26.04,1.53,0,0,1.53,0.77,0,7.66,0.77,0,26.04,0.77,3.06,473.37,0,9.96,16.85,0,2.3,7.66,0,0,0,0.77,0,10.72,3.06,0,3.06,0.77,0
120,0,0,3.92,0,5.88,0,0,86.23,0,0,3.92,25.48,5.88,0,0,1.96,0,0,3.92,1.96,0,23.52,0,1.96,413.51,1.96,3.92,13.72,0,0,13.72,0,0,0,0,0,15.68,1.96,3.92,1.96,1.96,0
