stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,15.77,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,7,1,0,1,0,0,0,0,6,0,0,0,1,0,0,0,4,0,1,1,0,74,0,1,0,0,0,2,0,0,0
 24-34,0,0,0.82,0,7.39,0.82,0,1.64,0.82,0,0.82,3.28,20.52,0.82,0,1.64,0.82,2.46,0,0,17.24,0,10.67,1.64,0,226.56,0,0,0,0,0.82,2.46,0,1.64,0.82
 36-46,0,0,0,0,0.81,0,4.03,0.81,0.81,0.81,0.81,4.83,5.64,0.81,0,0,0,5.64,0,0,23.36,0.81,18.53,1.61,0,201.42,0.81,0,0,0,0,5.64,0,1.61,0
 48-58,0,0,0,0,6.31,0,5.16,1.72,1.15,0,0,5.74,7.46,0.57,0,1.72,3.44,6.89,0,0,28.12,0,6.89,0,0,160.09,0,0,0,0,0,5.16,0,0.57,1.15
 60-70,0,0,0,0,9.82,0.98,19.63,0.98,2.94,2.94,0,3.93,2.94,0.98,0.98,0.98,1.96,0.98,0,0,25.52,0,10.8,0,0,130.54,0,0,0,0.98,0,1.96,0.98,0,0
 72-82,0,0,1.96,0,8.83,0,17.67,1.96,0,4.91,0,9.82,10.8,3.93,0,0,1.96,6.87,0.98,0,26.5,0,3.93,5.89,0,120.74,0,0,0,0,0,0,3.93,0.98,0.98
 84-94,0,0,2.12,0,16.99,0,12.74,1.06,0,7.43,1.06,10.62,12.74,2.12,0,0,0,3.19,1.06,0,7.43,0,5.31,4.25,0,242.14,0,0,1.06,0,0,0,6.37,0,1.06
 96-106,0,0,0,0,40.44,1.09,19.67,3.28,1.09,13.11,0,21.86,14.21,7.65,1.09,0,2.19,4.37,0,2.19,7.65,0,6.56,3.28,0,219.66,0,0,0,0,0,0,4.37,1.09,0
108-118,0,0,0.77,0,35.23,1.53,3.06,5.36,0,13.02,0,9.96,13.02,3.06,1.53,0,0.77,2.3,0,0,9.96,0,11.49,3.06,0,140.94,0,0,0.77,0,0,0,10.72,0,0
120,0,0,0,0,37.24,1.96,3.92,1.96,1.96,9.8,0,11.76,5.88,3.92,0,0,0,0,0,0,3.92,1.96,11.76,1.96,0,115.63,0,0,0,0,0,0,1.96,0,0
