stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,6.13,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
  7-9,0,23.66,107.78,0,0,155.09,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,893.76,5.26,0,110.41,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,28.32,0,3.15,75.53,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,453.16,0,0,81.82,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,128,0,2,1,0,1,1,0,0,1,0,0,1,15,0,0,12,43,0,0,0,0,7,0,2,0,3,10,12,0,0,0
 24-34,0,0,0,36.12,1.64,4.1,0.82,0,0.82,0,0,2.46,0,0,0.82,0.82,27.91,0,0,7.39,67.31,0.82,0,0,0,13.13,0.82,0,0.82,0,0.82,27.09,0,0,0.82
 36-46,0,0,0,12.89,0,0.81,0,0,1.61,0,0,0.81,0,0,0.81,1.61,17.72,0.81,0,4.03,57.2,0,0,0,0,5.64,0,0,0,0,0,8.86,0,0,1.61
 48-58,0,0,0,4.02,0,4.02,0,0.57,4.59,0.57,0,0.57,0,0,0,0.57,19.51,0,0,2.87,44.18,0.57,0,0,1.15,5.16,0,0,0.57,0,0,16.64,0,0,0.57
 60-70,0,0,0,1.96,0,0,0,0.98,0,1.96,0,0,0,0,0.98,1.96,8.83,0,0,0,8.83,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,2.94,0,3.93,0,1.96,0.98,0,0,0,0,0,0.98,0.98,13.74,0,0,3.93,2.94,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,7.43,0,2.12,0,2.12,0,3.19,0,0,0,0,0,6.37,8.5,0,1.06,1.06,1.06,0,0,0,0,23.36,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,8.74,0,1.09,0,2.19,0,5.46,0,0,0,0,0,6.56,17.49,1.09,0,1.09,7.65,0,0,0,0,8.74,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,4.6,0,0,0,2.3,0.77,0.77,0,0,0.77,0.77,0,17.62,12.26,0,0.77,4.6,4.6,0,0.77,0,0,10.72,0,0,0,0,0,0.77,0,0.77,0.77
120,0,0,0,5.88,0,1.96,0,0,0,5.88,0,0,0,0,0,27.44,1.96,0,0,5.88,5.88,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0
