stage,epidermis,eye,fast_muscle,fin_epithelia,glial,immune,iridophores,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,slow_muscle,somites,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,2,2,2,0,0,52,8,0
 24-34,0.82,0.82,0,0,0,0,0.82,0,0,3.28,0,0,48.43,1.64,0
 36-46,0,0,0,0,0,0,0,0,0.81,1.61,2.42,0,35.45,0,0
 48-58,0.57,0.57,0,0,0.57,0,0,0,0.57,1.15,0,0,41.89,0,0
 60-70,1.96,0,0.98,0,0,0,0,2.94,2.94,3.93,0,0,23.56,0,0
 72-82,0,2.94,4.91,0,0,0,0,2.94,0,1.96,0,0,11.78,0,0
 84-94,1.06,0,4.25,0,0,0,0,2.12,0,0,1.06,0,16.99,0,0
 96-106,0,1.09,8.74,1.09,0,0,0,4.37,0,1.09,0,0,17.49,0,1.09
108-118,0,2.3,12.26,0,0.77,0,0,4.6,0.77,0.77,0,0,9.96,0,0
120,1.96,0,5.88,0,0,1.96,0,5.88,0,0,0,1.96,3.92,0,0
