stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.92,2.63,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.52,6.29,0,0,37.76,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,1,23,7,18,0,0,0,5,0,0,1,0,1,0,0,0,0,74,0,0,59,115,1,0,2,6,0,0,4,1,0,23,47,0,0,0,0,0
 24-34,0,0,0,10.67,0,4.1,0,0.82,4.93,0,0,0,0.82,0,0,0,0,0,1.64,105.89,0,0,43.51,132.16,0.82,0.82,2.46,0,0,0.82,0,2.46,0,2.46,28.73,0,0,0.82,0,0
 36-46,0,0,0,4.83,0,4.83,0,1.61,9.67,5.64,0.81,0,0.81,0,0,0.81,0,0,1.61,182.08,0,1.61,37.06,405.25,2.42,0.81,0,0,0,0.81,0,2.42,0,0,34.64,0,0.81,3.22,0,0
 48-58,0,0,0,5.16,0.57,64.84,0,1.15,6.31,26.4,0,0,0.57,0,0,0.57,0.57,1.15,4.59,286.33,0,3.44,30.41,822.26,2.3,1.15,4.02,0,0,1.15,0,0.57,0,0,62.54,0,1.15,1.15,0.57,0.57
 60-70,0,0,0,10.8,0,292.49,0,1.96,9.82,47.11,0.98,0,0.98,0,0,0.98,0.98,0,5.89,544.74,0,4.91,10.8,1387.87,1.96,0,5.89,0,0.98,0.98,0,0.98,0.98,0,96.19,0,3.93,0.98,0,0.98
 72-82,0,0,0,31.41,0.98,320.02,0,1.96,16.69,53.01,0.98,0,1.96,0.98,0,0,1.96,0,4.91,793.18,2.94,11.78,24.54,1064.12,0,0.98,14.72,0,0.98,0,0,0,0,0,95.22,0.98,11.78,5.89,15.71,0.98
 84-94,0,0,0,59.47,0,204.97,0,2.12,10.62,37.17,0,2.12,4.25,1.06,1.06,1.06,2.12,0,16.99,501.28,2.12,12.74,15.93,544.83,1.06,2.12,7.43,0,0,2.12,0,1.06,2.12,0,43.54,1.06,3.19,7.43,14.87,1.06
 96-106,0,0,0,50.27,3.28,113.66,0,4.37,7.65,21.86,2.19,0,5.46,2.19,3.28,2.19,5.46,0,9.84,446.97,2.19,4.37,14.21,405.45,0,3.28,17.49,0,3.28,5.46,0,1.09,1.09,0,26.23,2.19,9.84,5.46,21.86,2.19
108-118,0,0,0,36.77,1.53,108,0.77,5.36,6.89,26.04,0.77,0,2.3,0.77,0.77,3.06,0,0,9.19,363.83,0.77,5.36,9.19,481.02,1.53,0.77,11.49,0,3.83,1.53,0,1.53,0,0,14.55,2.3,6.89,0,8.43,0.77
120,0,0,0,43.12,0,105.83,0,3.92,1.96,17.64,0,0,3.92,3.92,0,1.96,5.88,0,0,284.17,1.96,0,9.8,425.27,0,3.92,15.68,0,5.88,3.92,0,0,0,0,17.64,0,1.96,5.88,3.92,0
