stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,34.17,7.89,0,0,5.26,0,31.54,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,6.29,0,0,25.18,0,15.73,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,6,0,4,0,0,0,0,1,0,0,0,2,0,0,0,5,0,0,2,7,4,0,2,0,0,24,0,3,0,10,10,0,0,4,0,0
 24-34,0,0,0,0,7.39,2.46,0,1.64,0,0,0,2.46,0,0,0,0,4.1,0.82,0.82,0,3.28,6.57,0,4.93,19.7,0,1.64,0,0,0,96.04,0,0,1.64,1.64,8.21,0,0,12.31,0,1.64
 36-46,0,0,0,0,1.61,0,0,2.42,0.81,0.81,0,6.45,0,0,0,3.22,2.42,0,0,0.81,2.42,8.06,0,0.81,17.72,0,2.42,0.81,0,0,49.95,0,0,0.81,0,12.09,0,0,4.83,0,0
 48-58,0,0,0,0,2.87,0,0,2.3,0.57,0.57,1.15,8.61,0,0,0.57,0.57,0,0,0.57,0,4.59,5.16,0,1.72,11.48,0,0.57,0.57,0,0,33.28,0,0,0,0,9.18,0,0,1.72,0,0
 60-70,0,0,0,0,0.98,0,0,18.65,0,0,0,32.39,2.94,0,0,0.98,0,0,0,0,6.87,9.82,0,3.93,13.74,0,0,0.98,0,0,38.28,0,0,0,0,6.87,0,0,2.94,0.98,0
 72-82,0,0,0,0,4.91,2.94,0,11.78,0,2.94,2.94,29.45,9.82,0.98,0,0,0.98,0,0,0,11.78,11.78,2.94,4.91,22.58,0.98,0.98,0.98,0,0,14.72,0,0,0,0,2.94,0,0.98,2.94,0.98,0
 84-94,0,0,1.06,0,10.62,5.31,0,13.81,1.06,1.06,1.06,22.3,15.93,0,1.06,1.06,1.06,3.19,2.12,0,11.68,11.68,0,2.12,7.43,1.06,4.25,3.19,0,2.12,79.65,0,0,2.12,0,6.37,1.06,1.06,6.37,0,0
 96-106,0,0,1.09,0,10.93,4.37,0,15.3,0,3.28,0,16.39,18.58,0,2.19,0,0,1.09,1.09,0,5.46,7.65,2.19,3.28,14.21,0,0,3.28,0,0,55.74,0,0,0,0,3.28,1.09,0,2.19,0,1.09
108-118,0,0,0,0,15.32,0.77,0.77,8.43,0,1.53,0,17.62,20.68,0,0,2.3,1.53,0,2.3,0,12.26,3.83,2.3,0.77,11.49,0,0,2.3,0,0.77,27.57,0,0,0,0,0,0.77,0,0.77,0,0
120,0,0,1.96,0,15.68,0,0,7.84,0,3.92,0,11.76,21.56,0,0,5.88,3.92,1.96,0,1.96,7.84,7.84,0,0,13.72,1.96,1.96,7.84,0,0,45.08,0,0,1.96,0,1.96,1.96,0,1.96,0,0
