stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,5.75,0,0,0,0,2.46,0
 36-46,0,0,0,0,0,0,8.06,0,0,0,0,0,7.25,0,0,0,0,15.31,0
 48-58,0,0,0,0,2.3,0,37.3,0,0,0.57,0,0,13.2,0.57,0,0,0,65.99,0
 60-70,0,0,0,0,2.94,0,157.04,0,0,4.91,0,0.98,13.74,0,0,0,0,57.91,0
 72-82,0,0.98,0,0,9.82,0,214.98,0,0,11.78,0,0,11.78,0,3.93,0,0,8.83,0
 84-94,0,1.06,0,0,6.37,0,149.75,0,0,11.68,0,0,21.24,0,2.12,0,0,18.05,0
 96-106,0,1.09,1.09,1.09,6.56,0,159.56,0,0,5.46,1.09,1.09,10.93,0,4.37,0,2.19,3.28,0
108-118,0,0,0,0,6.89,0,121.02,0,0,9.19,0,0.77,12.26,0,2.3,0,0,0,0.77
120,0,1.96,0,0,9.8,1.96,168.54,1.96,1.96,3.92,0,0,11.76,0,5.88,0,0,0,0
