stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,7.89,2.63,2.63,0,0,0,0,0,0,0,0,0,113.03,52.57,0,0,141.95,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,110.14,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,7,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,3.22,0.81,0,1.61,1.61,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0.57,0.57,4.02,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,0,3.93,5.89,0,0,1.96,0,0,0,0,3.93,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,2.94,1.96,0.98,0,5.89,11.78,0.98,2.94,1.96,0,0.98,0,0,2.94,0,0,0,0,0,3.93,1.96
 84-94,0,0,0,0,0,2.12,0,0,5.31,11.68,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0,0,2.12,1.06
 96-106,0,0,0,0,1.09,0,0,0,8.74,16.39,1.09,0,2.19,0,1.09,4.37,0,2.19,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0,0,0,6.89,8.43,0.77,0,3.06,0,1.53,0.77,0,1.53,0,0,0,0,0,1.53,0
120,0,0,0,0,0,0,0,0,5.88,7.84,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0,0
