stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,21.03,0,0,0,0,0,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,19,0,0,0,0,0,1,0,20,0,0,0,0,0
 24-34,0,0,0.82,0,10.67,0,0.82,0,0.82,0,0,0,21.34,0,0,0.82,0,0,2.46,0,0.82,65.67,0,0.82,0,0,0,0,1.64,47.61,0,0,0,0,0
 36-46,0,0,0.81,0,15.31,0,0,0,2.42,0,0,0,8.86,0,0,0,0.81,0,0,0,0,101.51,0,0,0,0,0,1.61,2.42,56.4,0,0,0,0,0
 48-58,0,0,1.15,0,17.79,0.57,0.57,1.15,4.59,0,0,0,2.87,0.57,0,0,0,1.72,0,0,0.57,85.5,0,0,0,0,0,1.15,1.72,51.07,0,0,0,0,0
 60-70,0,0,2.94,0,65.76,0,0,0,10.8,1.96,0,0,7.85,0,0,0,0,6.87,0,0.98,0,126.62,0,0,0.98,0,0,3.93,0.98,60.85,0,0,0,0,0
 72-82,0,0,0.98,0,150.19,0,0,1.96,17.67,5.89,0,0.98,15.71,0,0,0,0,15.71,0.98,0.98,0,149.21,0,0.98,0,0,0,0,0.98,54.97,0,0,0,0.98,0.98
 84-94,0,0,4.25,0,151.87,1.06,0,2.12,10.62,9.56,0,0,25.49,0,0,0,0,13.81,1.06,1.06,0,84.96,0,0,2.12,0,0,6.37,6.37,31.86,0,2.12,0,0,0
 96-106,0,0,3.28,0,171.58,1.09,1.09,0,27.32,5.46,0,0,29.51,1.09,0,1.09,0,10.93,0,0,2.19,95.08,0,1.09,4.37,0,2.19,9.84,5.46,20.76,1.09,0,1.09,0,2.19
108-118,0,0,3.83,1.53,150.13,0.77,0.77,0.77,24.51,5.36,0,1.53,28.34,0,1.53,0,0,6.13,0,0.77,2.3,88.85,0.77,0,0.77,0,0,8.43,6.13,13.02,0,0,0.77,0.77,0
120,0,0,11.76,1.96,88.19,1.96,0,0,41.16,3.92,0,0,21.56,0,1.96,0,0,7.84,0,0,1.96,150.9,0,1.96,0,0,0,5.88,3.92,33.32,0,0,1.96,0,0
