stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,1,5,0,0,1,0,0,0,0,0,1,7,0,0,5,54,1,0,1,2,1,4,0,7,18,0,0,0,0,0
 24-34,0,0,0,4.1,0,7.39,0.82,0,0.82,0,0,0,0,0.82,0,9.03,0,0,2.46,77.98,0.82,0,0,0,7.39,0,0,0,11.49,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,12.89,0,0,1.61,0,0.81,0,0,0,0,5.64,0,0,3.22,28.2,0,0,0.81,0,2.42,0,0,0,5.64,0,0,0,0,1.61
 48-58,0,0,0,0,0,10.9,0,0,5.74,0,0,0,0.57,0,0,8.61,0,0.57,1.15,15.49,0.57,0,0.57,0,0.57,0,0,0,5.16,0,0,1.72,0,0
 60-70,0,0,0,0,0,4.91,0,0,2.94,0,0,0.98,0.98,0,0,2.94,0,0,0,14.72,0,0,0.98,0,1.96,0,0,0,1.96,0,0,1.96,0,0
 72-82,0,0,0,3.93,0,11.78,0,0,8.83,0.98,0,0,0,0,0,14.72,0,0.98,0.98,20.61,0,0,0.98,0,1.96,0,0,0,2.94,0,0,0.98,0.98,0
 84-94,0,0,0,3.19,0,8.5,0,0,4.25,0,1.06,1.06,0,1.06,0,9.56,0,1.06,1.06,8.5,1.06,2.12,1.06,0,5.31,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,2.19,0,0,7.65,0,1.09,1.09,0,1.09,0,8.74,0,1.09,2.19,7.65,0,1.09,0,0,4.37,0,0,0,1.09,1.09,1.09,1.09,2.19,0
108-118,0,0,0,2.3,0,1.53,0,0.77,6.13,0,0,0,0,0,0,10.72,0.77,0,1.53,6.13,0.77,0.77,1.53,0,3.06,0,1.53,0,0.77,0,0,1.53,0,0
120,0,0,0,1.96,0,1.96,1.96,0,3.92,0,0,0,0,1.96,0,9.8,0,1.96,0,5.88,0,0,0,0,3.92,0,0,0,0,1.96,0,0,1.96,0
