stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,2.46,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,3.28,0,1.64,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0.81,0,1.61,0,0.81,0,0.81,0,1.61,0.81,0
 48-58,1.15,0,0.57,0,2.3,0,0,0,0.57,2.87,0,2.3,0.57,0,0,0,0,2.3,0.57,0
 60-70,0.98,3.93,0,0,0,0,0,0,0,2.94,0,11.78,0,0,0,1.96,0,0.98,0.98,0.98
 72-82,0,7.85,0,0.98,0.98,0.98,0.98,0,0,4.91,1.96,18.65,0,0.98,0,0.98,0,0.98,0,0
 84-94,1.06,3.19,0,0,0,0,1.06,0,0,1.06,0,11.68,0,0,0,1.06,1.06,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,1.09,0,6.56,0,0,0,1.09,0,0,1.09,0
108-118,0.77,2.3,0,0,0,0,0,0.77,0,1.53,0,1.53,0,0,0.77,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,9.8,0,0,0,0,0,0,0,0
