stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,540.3,7814.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.74,0,0,0,0,0,0,0
  5-6,521.02,5970.26,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,171.63,24.52,0,0,67.43,153.24,0,0,0,0,0,0,0
  7-9,78.86,81.49,99.89,0,0,170.87,0,0,0,60.46,0,0,0,0,0,0,1737.58,81.49,0,0,728.15,5.26,18.4,0,0,0,0,0,0
 10-12,0,15.73,50.35,0,0,91.26,0,0,0,9.44,0,0,0,0,0,0,667.16,28.32,0,0,245.46,3.15,9.44,0,22.03,0,0,3.15,0
 14-21,0,1,2,90,13,14,0,3,6,1,1,2,0,21,0,12,160,5,2,1,5,3,2,56,3,5,41,47,0
 24-34,0,0,0,2.46,0,0,0,0.82,0,0,0,0,0.82,2.46,0,4.1,13.95,1.64,0,0,0,9.03,0.82,0,0,0,1.64,3.28,2.46
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0
