stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,8,69,23,4,0,0,0,1,2,2,0,0,1,0,1,0,0,7,0,0,2,41,1,0,4,1,0,69,6,6,0,2,12,0,0,14,0,0
 24-34,0,3.28,33.66,1.64,2.46,0,2.46,0.82,0.82,2.46,0,0.82,0,2.46,0,2.46,0,0,13.13,4.1,0,3.28,28.73,0,8.21,5.75,0,0,198.65,0,4.93,0,0,9.03,0,0,49.25,0,1.64
 36-46,0,0,16.11,0,5.64,0,1.61,0,2.42,0.81,0,0,0,0,0,3.22,0,2.42,11.28,3.22,0,2.42,24.98,0,12.09,2.42,0,0,175.64,0,1.61,0,0,12.89,0,0,22.56,0,0
 48-58,0.57,0,12.05,0,6.89,0,7.46,1.15,6.31,0.57,1.72,0.57,0,1.72,0,3.44,0.57,1.15,20.66,2.3,0.57,2.87,24.67,0.57,6.89,6.89,0,0,115.33,0,1.72,0,0,10.33,0,0,14.92,0,1.15
 60-70,0,0,20.61,0,3.93,0,7.85,0.98,6.87,1.96,1.96,0.98,0,0.98,0,1.96,0,0.98,24.54,2.94,0,3.93,26.5,0.98,3.93,7.85,0,0,87.36,0,3.93,0,0,6.87,0.98,0,7.85,0,4.91
 72-82,1.96,0,28.47,0.98,12.76,0,7.85,0,22.58,1.96,1.96,0.98,0.98,3.93,1.96,5.89,0,0,53.01,7.85,0.98,3.93,34.36,0.98,13.74,11.78,0,0,154.12,0,3.93,0,0,8.83,0,0,19.63,1.96,3.93
 84-94,1.06,0,57.35,2.12,12.74,0,14.87,0,16.99,9.56,6.37,2.12,2.12,8.5,1.06,5.31,1.06,0,47.79,3.19,0,0,22.3,0,9.56,6.37,0,0,320.74,0,5.31,0,0,7.43,5.31,1.06,13.81,0,1.06
 96-106,3.28,1.09,74.31,3.28,18.58,0,13.11,1.09,38.25,14.21,0,1.09,1.09,10.93,0,8.74,2.19,0,43.71,7.65,0,2.19,27.32,1.09,20.76,8.74,0,0,234.96,0,0,1.09,0,9.84,3.28,4.37,26.23,0,4.37
108-118,0.77,0,75.83,0,25.28,0,23.74,3.83,24.51,16.09,0,0.77,0.77,9.19,0,9.96,2.3,0,38.3,9.96,1.53,1.53,20.68,1.53,13.02,7.66,0,0.77,199.15,0,2.3,0,0,4.6,5.36,0.77,20.68,2.3,3.06
120,0,1.96,50.95,0,21.56,1.96,11.76,3.92,23.52,5.88,0,1.96,1.96,5.88,0,11.76,0,1.96,25.48,1.96,0,1.96,25.48,0,13.72,3.92,0,1.96,164.62,0,1.96,0,0,5.88,3.92,0,9.8,0,3.92
