stage,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,0,0,0,0,1,0,0,0,1,1,2,0,0,0
 24-34,0.82,0,0.82,0.82,0,0,0,8.21,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,1.61,0.81,0,0,0,4.83,1.61,0,0,0,0,2.42,0,0,0
 48-58,0,0,3.44,0.57,0.57,0.57,0,2.3,0,0,0,0,0,0.57,0,0,0.57
 60-70,0,0,2.94,1.96,1.96,0.98,0,10.8,0,0,0,0,0,0.98,0,0,0
 72-82,0,1.96,4.91,0,0.98,1.96,0,0.98,0,0.98,0,0,0,0.98,0,0.98,0
 84-94,1.06,0,5.31,1.06,8.5,1.06,0,2.12,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,4.37,1.09,8.74,0,0,2.19,1.09,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0,4.6,1.53,0,0,0,0,0.77,0,0,0,0.77,0,0
120,0,0,1.96,0,5.88,0,1.96,1.96,0,0,0,0,0,0,0,0,0
