stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,159.37,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,18.39,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,55.2,68.35,0,60.46,0,0,0,136.69,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,1293.33,39.43,0,0,586.2,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,40.91,0,47.2,0,18.88,0,141.61,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,956.68,31.47,0,0,462.6,0,0,3.15,0,34.62,0,9.44,0,0,0,0,0
 14-21,0,0,0,6,60,12,0,16,0,1,0,14,7,0,2,0,0,0,0,0,0,54,0,0,36,439,27,0,11,14,0,0,1,95,3,51,179,149,0,4,0,0
 24-34,0,0,0.82,4.1,19.7,0,0,50.89,0.82,4.93,3.28,13.13,0.82,0,0,0,0,0,0.82,0,6.57,71.41,0,0,33.66,614,3.28,0.82,5.75,0,0,0,0,0,0.82,3.28,20.52,176.48,0,11.49,0,3.28
 36-46,0,0,0,0,4.83,0,0,91.85,0,0,0.81,31.42,0.81,0,1.61,0,0,0.81,0,1.61,11.28,118.43,0,2.42,28.2,494.68,0.81,0.81,3.22,0,0,0,0.81,0,0.81,3.22,0.81,149.85,0,5.64,0,1.61
 48-58,0,0,0,0,5.16,0.57,0,83.78,0,0.57,5.16,30.41,0,0.57,2.87,1.15,0.57,1.15,0.57,0,15.49,154.35,1.15,4.02,34.43,215.75,1.15,0.57,6.31,0,0,0,0,0,1.15,0.57,0,75.74,0,2.87,0,0.57
 60-70,0,0,0.98,0,4.91,0,0,48.09,0,3.93,3.93,28.46,1.96,0,0.98,0,0,0.98,0,0,6.87,153.12,0,4.91,17.67,106.99,0,0,4.91,0,0,0,0,0,0.98,0.98,0,17.67,1.96,1.96,2.94,0.98
 72-82,0,0,0.98,0,4.91,0,0,17.67,0.98,0,8.83,38.28,0,0,0,0,0,1.96,0.98,0.98,4.91,151.18,0,6.87,24.54,99.15,1.96,0.98,3.93,0,1.96,0.98,0,0,0,0,0,6.87,5.89,7.85,4.91,2.94
 84-94,0,0,1.06,0,10.62,0,0,22.3,2.12,0,2.12,21.24,1.06,0,1.06,1.06,2.12,1.06,1.06,0,5.31,73.28,0,7.43,9.56,52.04,0,0,3.19,0,0,0,0,0,0,3.19,0,7.43,0,2.12,5.31,1.06
 96-106,0,0,0,0,6.56,2.19,0,25.14,1.09,1.09,4.37,14.21,1.09,0,0,1.09,0,1.09,1.09,0,6.56,73.22,1.09,7.65,9.84,59.01,1.09,0,2.19,0,1.09,0,0,0,1.09,1.09,0,2.19,3.28,2.19,6.56,1.09
108-118,0,0,0,0.77,3.06,0,0.77,29.11,0.77,0,2.3,16.85,0.77,0,0,0,0.77,5.36,0.77,0.77,1.53,58.98,0.77,1.53,10.72,58.21,0.77,0,1.53,0,0.77,0,0,0,0.77,0,0,0.77,0.77,0.77,3.06,1.53
120,0,0,0,0,3.92,0,0,21.56,0,0,0,5.88,1.96,0,0,0,0,0,0,0,1.96,23.52,0,0,3.92,47.03,0,0,5.88,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0
