stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,5.26,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,1,0,0,0,0,3,0,0,0,0,0,1,4,1,1,0,19,1,1,1,0,2,0,0,0
 24-34,0,0,0.82,8.21,0,0,1.64,0,0,0,0,1.64,0,0,0,0.82,1.64,0,23.8,0.82,0,0,105.89,0.82,0,0,0.82,1.64,0,0,0.82
 36-46,0,0,0,21.75,0,0,3.22,3.22,0,0,0,0,0,0,0,0.81,1.61,0.81,16.92,0,0,0,119.24,2.42,0,0,0,0.81,0,0,0
 48-58,0,0,0,24.67,0,0,1.15,6.89,0.57,0,0,0.57,0.57,0,0,2.3,0.57,0,10.9,0,0,0,48.2,0,0,0,0,0.57,0,0,0.57
 60-70,0,0,0,33.37,0.98,0,0.98,2.94,0,0,0.98,0,0,0,0,0.98,0.98,0,5.89,0,0,0,42.21,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,70.68,0,0,2.94,3.93,0,0,0.98,0,0,0,0,6.87,1.96,0,14.72,1.96,0,0,39.27,0,0,0,0,0.98,6.87,0.98,0
 84-94,0,0,0,131.69,0,0,1.06,11.68,0,4.25,3.19,1.06,0,1.06,0,2.12,1.06,0,4.25,1.06,1.06,0,123.2,0,0,0,0,0,16.99,0,0
 96-106,0,0,0,195.62,0,1.09,4.37,14.21,1.09,13.11,2.19,5.46,0,0,0,5.46,2.19,1.09,8.74,0,1.09,0,134.42,0,0,0,0,0,21.86,1.09,0
108-118,0,0,0,229.79,0,0.77,0,26.81,1.53,10.72,1.53,1.53,0,0,0,1.53,3.83,1.53,17.62,1.53,1.53,0,126.38,1.53,0,0,0,0.77,25.28,0,0
120,0,0,0,137.18,0,0,3.92,17.64,0,11.76,3.92,0,0,1.96,1.96,3.92,3.92,0,9.8,0,0,0,109.75,0,0,0,0,0,13.72,0,0
