stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,107.78,2.63,0,0,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0,1,35,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,4.93,0,0,0,1.64,0,0,0,0,0,0,0,0,0,1.64,0,0,2.46,634.52,0.82,9.03,0,0,0,0.82,0,112.46,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,54.79,0.81,0,0,6.45,0,0,0,0,0,0,0,0,0,4.83,0,0,3.22,2173.7,0,7.25,0,0,0,3.22,0,282.79,0,0,1.61,0,1.61
 48-58,0,0,0,0,11.48,0.57,0,320.76,1.15,0.57,1.15,31.56,0,0,1.15,1.15,0,0.57,1.15,0,0.57,20.66,0.57,0,2.3,3178.31,1.72,5.74,0.57,0,0.57,2.87,0.57,385.02,0,0,0.57,0,4.02
 60-70,0,0,0,0,8.83,0,0,869.63,0,1.96,0.98,39.26,0,0,0,0.98,0,1.96,3.93,0.98,0.98,20.61,0.98,3.93,2.94,4023.26,0.98,7.85,0,0,0,3.93,0,394.57,0,0,1.96,0.98,0
 72-82,0,0,1.96,0,16.69,4.91,0,824.6,0,0.98,0.98,65.77,0.98,0,0.98,0.98,0,0.98,0,0,0.98,32.39,1.96,4.91,1.96,2936.15,0.98,13.74,3.93,0,0.98,2.94,0,175.72,0,2.94,3.93,4.91,0
 84-94,0,0,0,0,27.61,1.06,0,507.65,0,0,4.25,57.35,0,0,1.06,2.12,1.06,3.19,1.06,1.06,0,27.61,0,6.37,5.31,1320.11,0,5.31,1.06,0,0,3.19,0,112.58,0,4.25,4.25,10.62,0
 96-106,0,0,0,1.09,13.11,5.46,0,358.45,0,2.19,1.09,29.51,1.09,0,0,3.28,1.09,1.09,0,0,0,30.6,0,9.84,3.28,1050.23,0,8.74,1.09,0,0,4.37,0,43.71,1.09,1.09,1.09,10.93,2.19
108-118,0,0,0.77,0,16.09,0.77,0,270.38,0,0,0,24.51,0.77,0,0.77,0,0.77,1.53,0.77,0,0,16.09,0,6.89,2.3,1180.35,0.77,9.19,0.77,0,0,2.3,0,33.7,0,0,0.77,5.36,0.77
120,0,0,0,0,13.72,3.92,1.96,239.09,0,1.96,0,45.08,1.96,0,0,1.96,0,0,0,1.96,0,9.8,0,13.72,1.96,1395.37,0,7.84,1.96,0,0,0,0,39.2,0,1.96,5.88,9.8,1.96
