stage,endocrine_pancreas,epidermis,eye,glial,gut,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,spinal_cord
 14-21,0,1,0,0,0,0,0,0,2,0,0,5
 24-34,0,0,0.82,0,0,0,0,0,75.52,2.46,0.82,11.49
 36-46,0,0,9.67,0,0,0,0,0,218.34,4.03,0,36.26
 48-58,0,1.15,30.99,1.72,0,2.3,0,1.15,273.7,1.15,0.57,28.69
 60-70,0,0,60.85,0,0,2.94,0,0.98,295.44,1.96,0,24.54
 72-82,0.98,0,65.77,1.96,0,1.96,0.98,0,248.36,2.94,0,16.69
 84-94,0,2.12,45.67,1.06,1.06,4.25,0,0,104.08,0,0,8.5
 96-106,0,0,29.51,3.28,0,3.28,1.09,0,101.63,0,0,3.28
108-118,0,1.53,27.57,3.83,0,2.3,0,0,139.41,1.53,0,1.53
120,0,0,19.6,3.92,0,1.96,0,0,129.35,1.96,1.96,1.96
