stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,26.29,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,12,4,0,0,0,0,1,2,1,34,0,0,1,0
 24-34,0,0,0,0.82,1.64,0,0,2.46,0,0,18.88,0,0,0,0.82,0,0,2.46,0,1.64,0,0,2.46,46.79,22.16,10.67,0,0,0,0,13.13,0.82,43.51,0,0,0,0
 36-46,0,0,0,0,3.22,0,0,9.67,0,0.81,12.09,0,0,0.81,0,0,0,1.61,0,1.61,0,0,0,33.84,18.53,4.83,0,0,0.81,0,7.25,0,30.62,0,0,0,0
 48-58,0,0,0,0,0,0,0,16.64,0,0,23.53,0,0.57,0,0,0,0,1.15,0,1.72,0,0,2.3,37.3,21.8,5.16,0,0,0,0,3.44,0,33.28,0,0,1.15,0
 60-70,0,0,0,0,4.91,0,0,58.89,0,0.98,16.69,0,0,0,0,0,0,0.98,0,2.94,0.98,0.98,0,73.61,21.59,2.94,0,0,0,0,0.98,0,24.54,0,0,0.98,0.98
 72-82,0,0,1.96,0,0.98,0,0,47.12,0,0,31.41,3.93,0,0,0,0.98,0.98,6.87,0,7.85,0,0,1.96,39.27,39.27,5.89,0,0,0.98,0,1.96,0,16.69,0,0,0.98,1.96
 84-94,0,0,4.25,1.06,3.19,0,0,71.16,1.06,0,20.18,1.06,0,0,0,0,0,3.19,0,6.37,0,0,0,24.43,33.99,9.56,0,0,0,0,3.19,0,7.43,0,0,1.06,0
 96-106,0,0,1.09,0,0,1.09,1.09,28.41,0,0,15.3,5.46,0,0,1.09,0,0,7.65,0,5.46,0,1.09,1.09,33.88,65.57,12.02,0,0,0,0,2.19,0,5.46,1.09,0,1.09,0
108-118,0,0,1.53,0.77,2.3,1.53,0.77,32.94,0,0,21.45,0.77,0,0,0.77,0,0,4.6,0,8.43,0,0,3.06,52.09,57.45,11.49,0,0.77,0.77,0,2.3,0,7.66,1.53,0.77,0,1.53
120,0,0,1.96,1.96,1.96,0,0,11.76,0,0,9.8,3.92,0,0,0,0,0,1.96,3.92,5.88,0,0,3.92,60.75,33.32,13.72,0,0,1.96,0,3.92,0,5.88,0,1.96,0,0
