stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,25,0,3,0,0,0,19,0,0,0,1,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,38.58,0,0,0,5.75,0,0,0,0,0,0,47.61,0,13.95,0,0,7.39,57.46,0,0,0,5.75,0,0,0,0,4.1,0,0,0,0,0.82
 36-46,0,0,0,0,0,58.81,0,0,0,15.31,0,0,0,0,0,0,16.92,0,47.53,0,0,10.47,75.73,0,0,0,3.22,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,0,68.86,0,0.57,3.44,32.71,0.57,0,0,0,0,0,11.48,0,75.74,0,0,5.16,54.51,0,0.57,0,1.72,0,0.57,0.57,0,4.02,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,94.23,0,0,10.8,19.63,0,0,0,0.98,0,0,15.7,0.98,103.06,0,0,3.93,61.84,0,0,0.98,1.96,0,0,0,0,2.94,0,0,0,0,0.98
 72-82,0,0,3.93,3.93,0,103.07,0.98,3.93,33.38,33.38,0.98,2.94,0.98,0,0,0,13.74,0,162.96,0,0.98,12.76,61.84,0,0,0,5.89,0,0,0,0,2.94,0.98,0.98,3.93,0,0
 84-94,0,0,3.19,1.06,0,180.55,0,2.12,30.8,29.74,0,1.06,1.06,0,0,1.06,12.74,0,150.81,1.06,1.06,4.25,40.36,0,0,2.12,11.68,1.06,1.06,1.06,0,2.12,1.06,1.06,1.06,0,0
 96-106,0,2.19,10.93,5.46,1.09,154.09,0,6.56,27.32,32.79,1.09,1.09,7.65,0,1.09,0,5.46,0,183.6,0,1.09,1.09,46.99,1.09,0,1.09,4.37,0,0,1.09,0,3.28,0,2.19,2.19,2.19,1.09
108-118,0,0.77,8.43,0.77,1.53,151.66,0,0.77,28.34,22.98,2.3,1.53,3.06,0.77,0.77,0,3.06,0.77,156.26,2.3,0,3.06,40.6,0,1.53,0.77,5.36,0,0.77,0,0,0.77,0,0.77,1.53,0,0
120,0,1.96,9.8,5.88,0,92.11,0,3.92,31.36,27.44,0,1.96,0,0,0,0,1.96,0,154.82,0,0,7.84,56.83,0,0,0,9.8,0,0,0,0,0,0,3.92,3.92,0,0
