stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,1,159,0,0,0,2,0,0,0,6,0,0,63,2,0,0,0,75,1,0,0,1,1,3,0,2,2,29,0,0,0,62
 24-34,0.82,4.1,0,263.49,0,0,0,0.82,0.82,0,0,22.98,0,0,139.55,6.57,0,0,0.82,115.74,0.82,2.46,0.82,0,4.93,0,0.82,0,1.64,21.34,0,0,4.1,178.95
 36-46,0,0,0,132.94,0,0,0,6.45,0,0,0,28.2,0,0,49.95,4.03,0,0,0,49.15,0,0,0,0,3.22,0,1.61,0,0,8.06,0,0,0,82.98
 48-58,0,0,0,131.98,0,0.57,0.57,1.72,0,0.57,0,50.49,0,0,30.99,6.89,0,0,0,28.12,0,0,0.57,0,0.57,0,0,0,0,6.31,0,0,0.57,80.91
 60-70,0,0,0,182.56,0,0.98,0,1.96,0,0,0,75.58,0,0,19.63,5.89,0.98,0,0.98,27.48,0,0,0,0,0,0,0,0,0,5.89,0,0,0,47.11
 72-82,0,0.98,0.98,296.46,0,0,1.96,13.74,0.98,0,0.98,82.46,0,0,37.3,13.74,0,0,0,20.61,0,0,0.98,0,1.96,0,0.98,0,0,1.96,0,0.98,0.98,45.16
 84-94,0,3.19,2.12,315.43,0,0,0,8.5,1.06,1.06,1.06,110.45,0,1.06,57.35,10.62,0,1.06,0,18.05,0,0,1.06,0,6.37,0,0,0,0,1.06,0,0,0,70.09
 96-106,0,4.37,2.19,308.18,1.09,0,0,20.76,0,0,1.09,120.21,0,1.09,40.44,7.65,0,1.09,1.09,24.04,1.09,1.09,1.09,0,5.46,0,1.09,0,0,0,0,0,1.09,85.24
108-118,0,0.77,2.3,294.9,0,0,0,19.15,0.77,0,0,166.21,1.53,0.77,59.75,9.19,0,0.77,1.53,26.04,0,0.77,0,0,4.6,0,0,0,0,0,0.77,0.77,0,117.96
120,0,3.92,1.96,158.74,0,0,0,9.8,3.92,0,0,94.07,0,0,27.44,7.84,1.96,0,0,23.52,0,1.96,0,0,0,0,0,0,0,0,0,0,0,50.95
