stage,endocrine.pancreas,endoderm,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,neural,olfactory,periderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,2.46,0,0,0,7.39,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,8.86,0,0,0,3.22,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,2.3,0,0,0,0,0,9.18,0,0.57,0,6.31,0,0,0.57,1.72,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,0,0,0,8.83,0,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,3.93,0.98,0,0,0,0.98,28.47,0,3.93,0,6.87,0,0,0,0,0,0,0.98
 84-94,0,0,0,11.68,2.12,0,2.12,0,0,0,129.57,0,3.19,0,8.5,0,1.06,0,0,0,0,1.06
 96-106,1.09,0,1.09,9.84,2.19,0,2.19,1.09,0,0,130.05,0,2.19,1.09,10.93,1.09,2.19,0,0,1.09,1.09,0
108-118,0.77,0,0.77,29.87,6.13,3.06,2.3,0.77,0.77,0,261.96,0.77,1.53,0,11.49,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,131.31,0,0,1.96,5.88,0,0,0,1.96,0,0,0
