stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,45,1,5,0,1,0,1,3,1,0,0,4,1,0,0,2,0,0,0,16,0,3,4,1,0,22,1,1,3,16,0,0,0,0,0
 24-34,0,0,0.82,122.31,0.82,11.49,0,19.7,0,0.82,0.82,0,2.46,0,9.03,5.75,0,0,5.75,2.46,0,1.64,24.63,0.82,11.49,10.67,0,0,88.65,0,2.46,0.82,9.85,0,0,1.64,0,0
 36-46,0,0,0.81,24.17,0,12.09,0,12.09,0,0,1.61,0,0.81,0,0.81,5.64,1.61,0,1.61,0.81,0,1.61,11.28,0,3.22,7.25,0,0,66.06,0,0,0,2.42,0,0,0.81,0,0
 48-58,0,0,0.57,20.08,0,7.46,0,11.48,0,2.3,0,0,1.72,0,1.15,2.87,0,0,2.87,1.72,0,0,10.9,0,1.72,8.03,0,0,39.59,0,0.57,0,5.16,0,0,0,0,0
 60-70,0,0,0,38.28,0,10.8,0,5.89,0.98,15.7,0.98,0.98,1.96,0.98,2.94,8.83,0,0.98,0.98,0.98,0,0,10.8,0,0.98,2.94,0,0,62.82,0,0,0,0.98,0.98,0,0.98,0,0
 72-82,0,0,0,47.12,0.98,16.69,0,7.85,0.98,86.39,2.94,0.98,2.94,0,4.91,19.63,0,0,4.91,4.91,0.98,0,17.67,0,0.98,12.76,0,0,46.14,0,0.98,0,1.96,7.85,1.96,5.89,0,0
 84-94,1.06,0,1.06,79.65,1.06,12.74,0,14.87,0,45.67,7.43,0,1.06,0,9.56,16.99,2.12,0,7.43,3.19,0,0,13.81,0,6.37,9.56,0,1.06,173.11,0,1.06,0,3.19,10.62,1.06,3.19,0,0
 96-106,0,0,0,95.08,0,15.3,0,18.58,1.09,66.66,6.56,0,4.37,7.65,12.02,21.86,1.09,0,5.46,6.56,4.37,0,15.3,0,8.74,18.58,0,0,125.68,0,0,0,1.09,12.02,0,2.19,1.09,1.09
108-118,0,0,0,75.06,0,9.19,0,12.26,0.77,78.89,10.72,0,1.53,4.6,13.02,9.96,0,0,7.66,3.06,0.77,0.77,13.79,0,11.49,12.26,0,0,111.06,0,0.77,0,1.53,6.13,0,0.77,0,0
120,0,0,0,74.47,0,11.76,1.96,5.88,0,74.47,3.92,0,1.96,7.84,5.88,5.88,1.96,0,7.84,3.92,1.96,1.96,21.56,0,5.88,5.88,0,1.96,58.79,0,1.96,0,0,11.76,0,0,0,0
