stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,89,0,0,0,0,0,0,1,1,0,2,1,9,0,1,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0.82,0,0,0,0,11.49,0,0,4.1,43.51,0.82,0.82,0.82,0,0,0.82,0.82,0,0,0,0,3.28,0,0,0,0
 36-46,0,3.22,0,0,0,0,2.42,0,0,0,0,0,0,2.42,0,0,0,0,7.25,0,0,0.81,31.42,0,0.81,0.81,0,0,0.81,1.61,0,0,0,0,8.06,0.81,0.81,0,0
 48-58,0,0.57,0,2.87,0,0,11.48,0,0,0,3.44,0,0,4.59,0,0.57,0,0,13.2,0,0,1.15,24.1,0,1.15,0,0,0,0,0.57,0,0.57,0,0,5.74,0,0,0,0
 60-70,0,3.93,0,1.96,0,0,54.97,0,0,0,4.91,0,0,8.83,0,0.98,0,0,20.61,0,0,1.96,69.69,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,4.91,0,6.87,3.93,0,111.91,0,1.96,0.98,12.76,0,0.98,8.83,0,0.98,0.98,0.98,30.43,0,0.98,0,107,0,0,0,0,0,0.98,0,0,0,0,0,1.96,1.96,0.98,0,0.98
 84-94,0,5.31,0,1.06,0,0,71.16,1.06,0,0,7.43,0,0,16.99,0,9.56,0,2.12,25.49,0,0,0,49.92,0,0,0,0,1.06,1.06,0,0,1.06,0,0,2.12,0,1.06,0,0
 96-106,0,7.65,0,10.93,0,0,57.92,0,2.19,1.09,8.74,4.37,0,29.51,1.09,5.46,1.09,1.09,19.67,0,0,1.09,81.96,0,2.19,0,0,0,1.09,0,0,2.19,0,0,4.37,0,0,0,2.19
108-118,0,8.43,0.77,7.66,0,1.53,81.96,0,0,0.77,9.19,0.77,0,25.28,0.77,3.83,0,0,20.68,0.77,0.77,2.3,81.96,0,0,0,0,0,0,0,0,0.77,0,0,2.3,0,0,0.77,0
120,0,5.88,0,5.88,1.96,0,99.95,0,0,0,9.8,0,0,15.68,0,1.96,0,0,25.48,0,0,1.96,123.47,0,0,1.96,0,0,1.96,0,0,0,0,0,7.84,0,1.96,0,0
