stage,endocrine.pancreas,epidermis,eye,gut,hatching.gland,mesenchyme,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord
 14-21,0,0,0,0,1,0,0,0,0,0,4,1,2
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,1.61,0,0,0,0,0,1.61
 48-58,0,0,2.3,0,0,0,0,0.57,0,0,0,0,1.15
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,1.96,0,3.93,0,0,0,1.96,0.98,0.98,1.96,0,0,0
 84-94,1.06,1.06,9.56,1.06,0,0,3.19,1.06,0,1.06,0,0,2.12
 96-106,2.19,1.09,5.46,0,0,0,2.19,0,0,0,0,0,0
108-118,1.53,0.77,11.49,1.53,0,0,6.89,0,0,0.77,0,0,0
120,0,0,5.88,0,0,0,0,0,1.96,0,0,0,0
