stage,blastomeres,epidermis,eye,glial,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0
 24-34,0,0,0,0,0.82,0,1.64,7.39,0,0,0.82,0,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,0,0,5.64,0,0,1.61,0,0,1.61,0,0
 48-58,0,0,2.87,1.15,1.72,0,0,6.89,0.57,0,0,0,0,1.15,0,0
 60-70,0,0,4.91,0.98,0,0,0.98,10.8,0,0,0,0,0,2.94,0,0
 72-82,0,0,5.89,2.94,2.94,0,0,7.85,0,0,0,0,0.98,0,0,0
 84-94,0,1.06,4.25,1.06,1.06,1.06,0,2.12,0,1.06,0,0,1.06,0,1.06,0
 96-106,0,1.09,0,0,1.09,0,0,3.28,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0.77,2.3,0,0.77,6.89,0.77,0,0,0,0.77,0.77,0,0
120,0,0,7.84,0,3.92,0,0,3.92,0,3.92,0,0,0,0,0,0
