stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.09,0,26.29,2.63,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,103.85,0,34.62,0,3.15,0,9.44,0,0,0
 14-21,0,0,0,60,0,0,0,1,0,3,0,0,5,0,1,5,0,1,3,0,3,2,0,0,0
 24-34,0,0,0.82,19.7,3.28,0.82,0,1.64,0,0.82,0,0,20.52,0,4.1,7.39,0,0,0.82,0,0,0,2.46,0,0
 36-46,0,0,0,2.42,0,0.81,0,0,0,0,0,0,4.03,0,0,5.64,0,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,2.87,0,1.15,0.57,0,0,0,0.57,0.57,1.15,0,0,1.72,0,0,0,0,0,0,1.72,0.57,0.57
 60-70,0,0,0,7.85,0.98,2.94,0,0,0,0,0,0,0.98,0.98,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,6.87,1.96,0.98,0,0,0,0,0,0,0.98,0,1.96,1.96,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,23.36,1.06,4.25,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,10.93,0,2.19,0,0,1.09,0,0,0,2.19,0,1.09,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,32.94,0,7.66,0.77,0.77,0,0,0,0,0.77,0,0,2.3,0,0,0,0,0,0,0,0,0.77
120,0,0,0,23.52,1.96,3.92,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,1.96
