stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,2,0,3,0,1,0,1,0,0,0,2,0,0,0,0,0,1,8,0,0,0,1,0,1,1,0,1,1,8,0,0,0,0,0
 24-34,0,0,0,0,2.46,5.75,0.82,0,0.82,0,0,0,0,0,0,0,3.28,0,10.67,22.16,0,0,0,0,0,1.64,0,0,3.28,1.64,7.39,0,0,4.93,0,0
 36-46,0,0.81,0,0,3.22,26.59,0.81,0,2.42,0,0,0,0,0,0,0,4.83,0,4.03,23.36,0.81,1.61,0,0.81,0.81,4.83,0,0.81,4.83,0,12.89,0,0,1.61,0,0.81
 48-58,0,1.15,0,0,8.61,25.25,0,0,1.72,0,0,0,0,0,0,0,8.03,0,2.3,28.12,0,0,0.57,0,0,0,0,0,4.59,0,12.05,0,0,2.87,0,1.15
 60-70,0,1.96,0,0,8.83,18.65,0,0,2.94,0.98,0,1.96,0,0,0,0,6.87,0,4.91,14.72,0,0,0,0,0,0.98,0,0,2.94,0,6.87,0,0,0,0.98,0
 72-82,0,0.98,0,0,9.82,14.72,0,0.98,7.85,0,0.98,0,0,0,0,0,10.8,0,0.98,15.71,0,0.98,0.98,0,0,0,0,0,0.98,0,2.94,0,0,0.98,0.98,0.98
 84-94,0,2.12,2.12,1.06,4.25,13.81,0,0,4.25,1.06,1.06,1.06,0,0,0,0,8.5,0,2.12,16.99,0,0,0,0,0,4.25,0,0,4.25,0,2.12,0,0,4.25,2.12,0
 96-106,0,2.19,1.09,0,7.65,8.74,2.19,1.09,5.46,1.09,0,0,0,1.09,0,1.09,9.84,1.09,3.28,18.58,0,0,0,0,0,3.28,0,1.09,3.28,0,4.37,1.09,1.09,2.19,0,2.19
108-118,0,3.06,0.77,0.77,9.19,6.89,0,0,3.83,0,0,0,0,0,0.77,0,8.43,0,1.53,9.19,0,0,1.53,0,0,0.77,0,0,9.19,0,0.77,0,0,2.3,0,0
120,0,0,0,0,3.92,3.92,0,1.96,1.96,0,0,0,0,0,0,0,3.92,0,1.96,9.8,1.96,0,0,0,0,5.88,0,0,0,0,0,0,1.96,1.96,0,0
