stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,948.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,49.04,1274.96,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,67.43,0,0,0,0,0,0,0,0,0
  7-9,28.92,21.03,0,55.2,0,0,0,42.06,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,496.83,49.95,0,0,236.58,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,34.62,0,6.29,0,44.06,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,409.11,22.03,0,0,135.32,0,0,3.15,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,3,18,2,0,5,0,0,4,1,0,0,0,0,0,0,0,0,10,0,0,8,86,3,1,2,2,0,1,20,2,1,21,37,0,1,0,0
 24-34,0,0,0,0,3.28,0.82,0,18.06,0,0.82,4.1,0.82,0,0,0,0,0.82,0,0,0,20.52,0,0.82,4.1,171.56,0.82,2.46,0.82,0,0,5.75,0,0,0,2.46,41.04,0,2.46,0,1.64
 36-46,0,0,0,0,0,0,0,31.42,0.81,2.42,5.64,0,0,0,0,0.81,0,0,0,0,18.53,0,0,5.64,185.3,0.81,0.81,2.42,0,0,4.03,0,0,0,0,37.87,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,43.61,0,0.57,13.77,0,0,0.57,0.57,0,0,0,0,0.57,28.69,0,0.57,2.87,174.44,1.15,1.15,0.57,0,0,1.72,0,0,0,0,45.9,0,2.87,0,0
 60-70,0,0,0,0,0.98,0.98,0,80.48,0,0.98,9.82,0,0,0,0,0,0,0,0,0,27.48,0,0.98,3.93,178.64,0,1.96,2.94,0,0,2.94,0,0,0,0,19.63,0,4.91,0,0
 72-82,0,0,0,0,0.98,0,0,63.81,0,0,13.74,0,0,0,0,1.96,0.98,0,0,0,46.14,1.96,0.98,5.89,146.27,0,0.98,1.96,0,0,2.94,0,0,0,0,12.76,0,3.93,2.94,0.98
 84-94,0,0,0,0,4.25,0,0,30.8,0,1.06,6.37,1.06,0,0,1.06,1.06,1.06,3.19,0,2.12,19.12,0,1.06,6.37,72.22,1.06,1.06,5.31,0,0,6.37,0,0,1.06,0,4.25,0,2.12,1.06,0
 96-106,0,0,1.09,0,2.19,2.19,2.19,32.79,1.09,0,8.74,0,0,2.19,3.28,2.19,0,0,0,0,19.67,1.09,1.09,4.37,66.66,1.09,4.37,2.19,0,1.09,13.11,0,0,0,0,1.09,2.19,1.09,2.19,0
108-118,0,0,0,0,9.19,0,0,22.21,0.77,0,3.06,1.53,0,0,0.77,0.77,2.3,0,1.53,0,20.68,0,0,1.53,68.17,0,0.77,1.53,0,0,6.13,0,0,0,0,1.53,0,4.6,1.53,0.77
120,0,0,0,0,1.96,1.96,0,23.52,0,5.88,5.88,0,0,1.96,1.96,1.96,0,1.96,0,0,21.56,0,0,1.96,82.31,0,0,1.96,0,0,5.88,0,0,0,0,0,1.96,1.96,7.84,1.96
