stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,spinal_cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,1.64,0,0,2.46
 36-46,0,0,0,1.61,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,1.72,0.57,0.57,0.57,0.57,0,1.72,0,0,2.3
 60-70,0,0,0,20.61,0,0,0.98,0,0.98,3.93,0,0,0
 72-82,0,0,0.98,52.03,0,0,1.96,0,0,8.83,0,0,0
 84-94,0,1.06,0,47.79,0,1.06,0,0,0,2.12,0,0,0
 96-106,0,0,0,72.13,0,1.09,0,0,0,8.74,0,0,0
108-118,0,0,0.77,57.45,0,0,0,0,0,8.43,0.77,0,0
120,0,0,0,99.95,0,0,1.96,0,0,5.88,0,0,0
