stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,453.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,7.89,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63,7.89,0,0,55.2,0,2.63,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,25.18,0,6.29,0,28.32,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,217.14,15.73,0,0,44.06,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,226,0,1,27,1,0,0,0,2,0,1,77,0,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,9.85,0,0,1.64,0,0,0,0,0,0,1.64,0,4.93,0,0,0,526.17,0,11.49,10.67,0,0,0,0,0,0,0,174.84,0,0,0.82,0,0.82
 36-46,0,0,0.81,0,0.81,0,0,14.5,0,0,10.47,0,0,0,0,0,0,0,0,1.61,0,0,0.81,870.93,0,7.25,2.42,0,0,2.42,0.81,0,0,0,212.7,0,0,0,0,0
 48-58,0,0,0,0,3.44,0,0,78.61,0,0.57,24.1,0,0,0.57,1.72,1.15,0.57,1.15,0,8.03,0,0,0.57,849.81,0,5.16,0.57,0,0,1.72,0,0,0,0,188.78,0,0,0,0,1.15
 60-70,0,0,1.96,0,2.94,0,0,252.25,0,0,49.08,0,0,0,0,0,0,0.98,0,11.78,0,0,0,1260.27,0,8.83,0,0,0.98,0.98,0,0,0.98,0,180.6,0,1.96,1.96,0,0
 72-82,0,0,0,0,9.82,3.93,0,300.39,0.98,0.98,55.95,0.98,0,0.98,0.98,0,0.98,0.98,0,35.34,0,1.96,1.96,1042.52,0,18.65,0.98,0,0,1.96,0,0,0.98,0,95.22,0,0.98,0.98,0.98,4.91
 84-94,0,0,0,0,6.37,2.12,0,185.86,1.06,0,50.98,0,0,0,0,1.06,0,3.19,0,21.24,1.06,0,1.06,600.05,0,9.56,3.19,0,0,2.12,0,0,1.06,0,67.97,0,0,1.06,1.06,0
 96-106,0,0,0,0,7.65,1.09,0,180.32,0,0,51.36,1.09,0,0,1.09,1.09,1.09,1.09,0,18.58,0,0,0,462.27,0,10.93,0,0,0,4.37,0,0,0,0,33.88,0,2.19,1.09,2.19,0
108-118,0,0,0.77,0,10.72,0.77,0.77,108,0,0,38.3,0,0,0.77,0.77,0.77,0,2.3,0.77,13.79,0,0,1.53,521.62,0,12.26,0.77,0,0,0,0,0,0.77,0,16.85,3.06,0,0,0.77,0.77
120,0,0,0,0,9.8,1.96,0,117.59,0,0,60.75,0,0,0,1.96,1.96,0,3.92,0,11.76,0,0,5.88,646.73,0,17.64,0,0,0,0,0,0,0,0,33.32,1.96,0,3.92,0,1.96
