stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,25.18,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,5,0,0,3,0,0,0,91,0,0,0,0,0,0,0,0,0,5,0,0,0,65,1,3,8,7,0,0,5,50,0,0,224,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,3.28,0,0,0,112.46,0.82,0,0,0,0.82,0,0.82,0,0,4.93,0,0,0,85.37,1.64,24.63,5.75,0,0,0,0,43.51,0.82,3.28,216.71,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,86.21,0,0,0,0,0,0,0,0,0,0,0.81,0,0,91.85,0,31.42,4.03,0,0.81,0,0,17.72,0,0,159.52,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,6.31,0.57,0,0,83.2,0,0,0,0,0,0,1.72,0,0.57,3.44,0,0,0.57,70.58,0,21.8,5.16,0,0,0,0,6.31,0,0,148.62,0,0,0,0,0
 60-70,0,0,0,0,0,0,4.91,0.98,0.98,0.98,96.19,0,0,0,2.94,0,0,3.93,0,0,1.96,0,0,0,77.54,0,27.48,14.72,0,0,0.98,0,6.87,0,0,83.43,0,0.98,0,0,0
 72-82,0,0,0,1.96,0,0,15.71,0,0,0.98,130.56,0.98,0,0.98,0,0,0.98,10.8,0,0.98,1.96,0,0,0,99.15,0.98,55.95,20.61,0,0,0.98,0,4.91,0,0,51.05,0,0,0,0,0
 84-94,0,0,1.06,5.31,0,0,14.87,0,0,0,104.08,1.06,0,0,1.06,0,0,9.56,0,0,5.31,0,1.06,0,42.48,0,43.54,28.68,0,1.06,4.25,0,6.37,1.06,0,61.6,0,0,0,0,0
 96-106,0,2.19,0,2.19,1.09,0,15.3,0,0,0,92.89,1.09,0,0,2.19,0,0,26.23,0,0,8.74,1.09,0,0,44.81,0,65.57,48.09,0,0,4.37,0,12.02,0,0,50.27,0,1.09,1.09,0,0
108-118,0,0.77,2.3,3.06,0,0.77,7.66,0,0,0,76.6,0.77,0,0,1.53,0,0,17.62,0.77,0.77,3.83,0,0,0.77,52.09,0,45.96,32.94,0,0,1.53,0,6.89,0.77,0,36.77,1.53,0,0.77,0.77,1.53
120,0,0,1.96,0,0,0,3.92,0,0,0,37.24,3.92,0,0,1.96,0,1.96,13.72,0,0,1.96,0,0,0,70.55,0,19.6,31.36,0,0,5.88,0,3.92,0,0,17.64,0,0,0,0,0
