stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,5,105,0,0,24,0,1,0,2,0,1,0,12,0,0,0,5,0,0,5,91,1,2,2,0,0,27,0,3,7,0,4,43,0,0,1,0,0
 24-34,0,0,0.82,2.46,56.64,0,0,85.37,0,6.57,0,4.1,2.46,0,0,19.7,0,1.64,0.82,21.34,1.64,0,5.75,170.74,0.82,4.1,4.1,0,0,44.33,0,0,4.93,0,2.46,56.64,0,0,1.64,0,0.82
 36-46,0,0,0,0,24.17,0.81,0,153.88,0,7.25,0,4.83,1.61,0,0,5.64,0,0,1.61,9.67,0,0,2.42,204.64,0,4.83,8.06,0,0,38.67,0,0,4.03,0,0,49.95,0,0,0,0,0
 48-58,0,0,0,1.15,17.21,0.57,0,263.38,1.15,7.46,1.15,9.18,2.3,0,0,2.87,0.57,1.15,2.3,16.64,0.57,0,1.72,239.85,0,4.59,8.61,0,0,22.95,0,0,2.3,0,0,48.2,0,0,1.15,0,2.3
 60-70,0,0,0,0.98,23.56,0,0,355.31,0.98,10.8,0,6.87,4.91,0,0,2.94,0,0.98,0.98,24.54,0,0,3.93,326.85,0,1.96,5.89,0,0,32.39,0,0,1.96,0,0,33.37,0,0,0,0,0
 72-82,0,0,0,0.98,26.5,0.98,0.98,377.94,0,12.76,1.96,20.61,3.93,0,0,0,0.98,3.93,1.96,83.44,0.98,1.96,5.89,323.95,0,6.87,10.8,0,0,30.43,0,0,4.91,0,0,28.47,0.98,0,0,0,1.96
 84-94,0,0,0,0,52.04,1.06,0,237.9,0,23.36,0,19.12,12.74,0,0,2.12,0,1.06,7.43,52.04,1.06,1.06,4.25,146.56,0,7.43,15.93,0,0,89.21,0,0,13.81,0,0,10.62,3.19,1.06,0,0,0
 96-106,0,0,1.09,0,68.85,2.19,1.09,213.11,0,19.67,0,22.95,14.21,0,0,1.09,0,0,5.46,69.94,4.37,0,3.28,126.77,0,9.84,16.39,0,1.09,106.01,0,0,3.28,0,0,4.37,1.09,1.09,0,2.19,1.09
108-118,0,0,0.77,2.3,81.19,0.77,6.13,152.43,0,24.51,0,17.62,16.85,0,0,6.13,0,3.06,7.66,65.87,1.53,0,5.36,156.26,0,6.13,16.85,0,0.77,65.11,0,0,6.13,0.77,0,6.89,0,0.77,0.77,0.77,0
120,1.96,0,0,1.96,97.99,1.96,5.88,133.27,0,21.56,0,23.52,7.84,0,3.92,3.92,0,1.96,5.88,60.75,1.96,1.96,7.84,150.9,0,5.88,7.84,0,0,58.79,0,0,9.8,0,0,1.96,0,0,0,0,0
