stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,6.29,31.47,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,100.7,0,0,0,72.38,0,0,6.29,0,9.44,0,0,0,0
 14-21,0,38,18,0,0,17,0,0,1,7,0,0,0,0,0,3,6,0,0,3,30,1,0,0,0,0,2,2,15,34,11,0,0,0
 24-34,0,5.75,3.28,0,0,22.16,0,0,2.46,0,0,0,0,0,0,9.03,5.75,0.82,0,0.82,42.68,0,0,0,0,1.64,0,5.75,0,0,17.24,0,0,0
 36-46,0,1.61,1.61,0,0,33.03,0.81,0,0.81,0.81,0,0.81,0,0,0,0.81,1.61,0,0,0,9.67,0,0,0,0,0,0,0.81,0,0,7.25,0,0,0
 48-58,0,0,3.44,0,0,131.4,0,0,6.89,0,0,0,0,0,0,0,8.03,0.57,0,1.15,13.2,0,1.15,0,0,2.87,0,1.72,0.57,0,4.02,0,0.57,0
 60-70,0,0,12.76,0,0,64.78,0.98,0.98,15.7,0.98,0,0,0.98,0.98,0,0,2.94,0,0,0.98,2.94,0,0,0,0,9.82,0,1.96,0,0,7.85,0,0.98,0
 72-82,0,0,11.78,0,0,41.23,0.98,0,34.36,0.98,0,0,0,0.98,0,0.98,8.83,0.98,0,0.98,8.83,0,0,0,0,41.23,0,7.85,0,0,0.98,0,0.98,0
 84-94,0,0,30.8,1.06,0,26.55,0,0,16.99,1.06,0,0,0,0,0,0,8.5,1.06,1.06,0,6.37,0,0,1.06,0,123.2,0,29.74,0,0,0,1.06,1.06,0
 96-106,0,0,53.55,1.09,0,34.97,0,1.09,20.76,3.28,0,0,0,0,1.09,3.28,15.3,0,0,0,6.56,0,0,0,0,173.76,0,33.88,0,0,1.09,0,2.19,1.09
108-118,0,0,67.4,0.77,0.77,24.51,1.53,3.06,10.72,2.3,0,0.77,0.77,0.77,0,1.53,14.55,0.77,0,0,4.6,0,0,0.77,0,189.19,0,26.04,0,0,0,0,0,0
120,0,0,60.75,0,0,19.6,0,7.84,0,11.76,0,0,0,0,0,5.88,11.76,0,0,0,0,0,0,1.96,0,94.07,0,27.44,0,0,1.96,0,0,0
