stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,2.63,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,25.18,18.88,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,31,0,0,1,0,0,0,1,2,3,0,0,0,0,0,0,0,6,1,0,13,7,59,0,0,1,0,0,4,0,8,11,0,0,0,0
 24-34,0,0.82,12.31,0,0,4.1,0,1.64,1.64,0,0,0,0,0,0,0,0,0,0,24.63,0,0,32.01,23.8,19.7,0,0,0,0,14.78,0,0,6.57,10.67,0,0.82,0,0.82
 36-46,0,0,7.25,0,0,1.61,0.81,0.81,4.03,1.61,0,0,0,0.81,0,0,0,0,0,28.2,2.42,0,16.92,10.47,12.09,0,0,0,0,12.09,0,0,0,6.45,0,0,0,0
 48-58,0,0,1.72,0.57,0,5.74,0,2.3,4.59,2.3,0,0,0,0,0,0,0,0,0,51.07,3.44,0.57,7.46,8.03,12.05,0,1.72,0,0,6.31,0,0,0,6.31,0,0.57,0,0.57
 60-70,0,0,0.98,0,0.98,3.93,0,0.98,6.87,2.94,0,0,0,0.98,0,0,0,0.98,0,51.04,5.89,0,4.91,7.85,6.87,0,3.93,0,0,2.94,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,5.89,0,0.98,9.82,0,0.98,16.69,1.96,0,0,0.98,0,0,0,0,0,0,78.53,1.96,0.98,4.91,9.82,1.96,0,0.98,0,1.96,3.93,0,0,0,1.96,1.96,0.98,1.96,0
 84-94,0,0,8.5,0,0,4.25,0,0,2.12,4.25,2.12,0,0,0,0,0,0,1.06,0,59.47,6.37,0,7.43,5.31,10.62,0,1.06,0,0,18.05,0,1.06,0,1.06,2.12,0,0,0
 96-106,0,0,7.65,0,6.56,5.46,0,1.09,2.19,2.19,4.37,0,0,0,0,1.09,0,0,0,49.18,4.37,2.19,1.09,8.74,3.28,0,1.09,0,0,6.56,0,0,0,0,0,1.09,3.28,1.09
108-118,0,0,9.96,0,39.83,5.36,0,2.3,1.53,4.6,3.83,0,0,0,0.77,0,0.77,0.77,0.77,37.53,3.83,0,3.83,16.85,4.6,0,2.3,0,0,4.6,0,0,0,1.53,0.77,1.53,0.77,0
120,1.96,1.96,7.84,0,15.68,1.96,0,5.88,0,5.88,1.96,0,0,0,0,0,1.96,0,0,19.6,3.92,1.96,0,5.88,5.88,1.96,1.96,0,0,9.8,0,0,0,3.92,0,0,0,0
