stage,epidermis,eye,fin.mesenchyme,glial,gut,heart,lateral.line,mesenchyme,muscle,neural,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,3,1,0,0,0,0,0,1,0,6,0,1,0,1,0
 24-34,1.64,0.82,0,0,0,0,0,1.64,0,8.21,0,0,0.82,0,0
 36-46,0,0.81,0,0.81,0,0,0,1.61,0,8.06,0,0,0,1.61,0.81
 48-58,0,0.57,0,0,0,0,0.57,0.57,0,5.16,0,0,0,0,0
 60-70,0.98,1.96,0,0.98,0,0,0,0,0,2.94,0,0,0,0.98,0.98
 72-82,0,4.91,0.98,2.94,0,0,0,2.94,0,4.91,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,1.96,1.96,0,0,0,0,0
