stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,118.6,2003.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,281.96,3113.85,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.59,30.65,0,0,73.56,104.2,0,0,0,0,0,0,0,0,0
  7-9,65.72,55.2,0,152.47,0,2.63,0,223.44,0,0,0,0,0,78.86,0,0,0,0,0,0,0,0,0,0,0,1984.68,52.57,0,0,1009.43,21.03,10.51,0,0,0,0,0,0,0,0
 10-12,0,84.97,0,100.7,0,15.73,0,185.67,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,1705.66,22.03,0,0,745.83,6.29,22.03,3.15,75.53,0,0,0,0,0,0
 14-21,1,1,0,14,150,47,0,84,0,0,0,22,4,2,1,3,2,0,1,0,0,115,0,0,91,1204,26,5,13,55,33,3,258,15,0,159,410,0,7,0
 24-34,0.82,0.82,0.82,1.64,53.36,16.42,0,259.39,0,1.64,2.46,41.04,0.82,0,0.82,9.03,1.64,2.46,1.64,0,0,215.06,2.46,0.82,97.68,1942.15,24.63,8.21,14.78,0.82,70.59,0,0.82,1.64,0.82,15.6,526.17,0,28.73,2.46
 36-46,0,0,0,0.81,18.53,9.67,0,559.13,0,1.61,2.42,47.53,1.61,0,1.61,8.06,0,1.61,2.42,0,0.81,186.11,0.81,4.83,67.68,1368.03,8.06,4.03,8.06,0,19.34,0,0.81,2.42,0,0,350.47,0,15.31,3.22
 48-58,0,0,0,0,17.79,9.75,0,674.22,0,3.44,2.3,49.92,1.15,0,5.16,6.31,0,2.3,0,0.57,1.15,219.77,0.57,7.46,36.15,684.55,2.87,3.44,5.74,0,9.75,0,0,0,0,0,133.12,0,9.75,2.87
 60-70,0,0,0,0,18.65,1.96,0,516.28,0,0.98,0,62.82,0.98,0,0,5.89,0,0,1.96,0,0,138.39,0,10.8,24.54,302.31,5.89,0,1.96,0,3.93,0,0,0,0,0,19.63,0,9.82,0.98
 72-82,0,0,0,0,24.54,3.93,0,216.95,0.98,0.98,3.93,68.72,4.91,0,2.94,9.82,0.98,2.94,0,1.96,0,147.25,0,11.78,27.49,288.61,0.98,1.96,3.93,0,5.89,0,0,0.98,0,0,10.8,0.98,14.72,0.98
 84-94,0,0,0,0,23.36,8.5,0,201.79,0,0,2.12,40.36,6.37,0,1.06,12.74,1.06,3.19,1.06,1.06,0,124.26,0,16.99,28.68,208.16,6.37,4.25,6.37,0,8.5,0,0,0,0,0,9.56,1.06,18.05,0
 96-106,0,0,0,0,25.14,7.65,1.09,136.61,0,0,0,50.27,8.74,0,4.37,22.95,1.09,0,1.09,1.09,0,79.78,0,10.93,16.39,195.62,4.37,3.28,4.37,0,9.84,0,0,2.19,0,0,3.28,2.19,19.67,0
108-118,0,0,0,0.77,15.32,15.32,2.3,144,0,0,0,49.79,2.3,0,0.77,15.32,0.77,3.06,0,2.3,0,55.92,0,6.89,16.09,250.47,3.83,0.77,3.06,0,5.36,0,0,0,0,0,5.36,0,14.55,0
120,0,0,0,0,19.6,17.64,0,111.71,0,0,1.96,31.36,0,0,0,15.68,1.96,0,0,1.96,0,39.2,0,1.96,5.88,176.38,0,0,5.88,0,7.84,0,0,0,0,0,1.96,0,11.76,0
