stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0
 72-82,0,0,0,0,0,0.98,0,2.94,0,0.98,0.98,0.98,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,0,0,2.12,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,2.19,1.09,0,0,0,0,15.3,0,0,2.19,2.19,0,1.09,0,0,0,1.09,1.09
108-118,0,5.36,0,0,0.77,0,0.77,14.55,0.77,0,0,0,0,0.77,0.77,0,0.77,0,0
120,0,0,0,0,0,0,0,11.76,0,1.96,1.96,0,0,1.96,0,0,0,0,0
