stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord
  7-9,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,4.93,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,2.42,0.81,3.22,0,0.81,0,0,0.81
 48-58,0,1.72,0,0,1.72,0,1.15,0.57,6.31,0,0,0,0,0,0,2.3
 60-70,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,2.94,0,0,0,0,0.98,0,0.98,0,0.98,0.98,0,0,0,0.98
 84-94,0,1.06,0,0,0,1.06,0,0,1.06,0,4.25,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,0,2.19,0,4.37,0,1.09,0,0,0
108-118,0,2.3,0.77,0,1.53,0,0,0,0,0,3.06,0,3.06,0,0.77,0
120,0,1.96,0,1.96,0,0,0,0,1.96,0,3.92,0,0,1.96,0,0
