stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,3.22,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0
 48-58,0,0,4.02,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,25.52,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,93.26,0,0,0,0,0,0,0.98,0,4.91,0,0,0,0,0.98,0
 84-94,2.12,0,121.07,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0
 96-106,8.74,0,124.58,1.09,0,0,1.09,0,1.09,2.19,0,4.37,1.09,1.09,0,1.09,0,0
108-118,0.77,1.53,113.36,0.77,0,0,1.53,0,0.77,0.77,0,5.36,0,0,0,0.77,0,0.77
120,1.96,3.92,139.14,0,3.92,0,1.96,0,0,0,1.96,13.72,0,0,0,0,0,0
