stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,349.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,135,0,0,0,0,0,4,6,1,0,2,75,0,0,0,0,0
 24-34,0,0,0.82,0,3.28,1.64,0,22.98,0,0.82,0,5.75,0,0,0,0,0.82,0,0.82,0,0.82,10.67,0,0,6.57,564.75,0.82,1.64,0,0,0,4.93,0,3.28,0,3.28,206.03,0,0,0.82,0,0.82
 36-46,0,0,0.81,0,0.81,0.81,0,24.17,0,1.61,0.81,29.81,0,0,0,0.81,0,0,0,0,1.61,4.83,0,0,1.61,891.88,2.42,8.86,0.81,0,0,4.03,1.61,4.03,0.81,0,334.35,0,0,0,0,2.42
 48-58,0,0,1.15,0,4.59,0,0,65.99,0,0,1.15,126.81,0,0,0.57,1.15,0,0,0.57,0.57,5.16,15.49,0.57,0,5.16,922.1,0.57,2.87,2.3,0,0,8.61,0,0,0,0,315.02,0,0,1.15,0,4.02
 60-70,0,0,0.98,0,7.85,2.94,0,125.63,0,0,0.98,322.92,0.98,0,0,1.96,0.98,2.94,0.98,0,1.96,33.37,0.98,0,1.96,1440.87,0,2.94,2.94,0,0.98,9.82,0,0.98,0.98,0,367.09,0,0.98,2.94,0.98,2.94
 72-82,0,0,0,0,18.65,3.93,0,273.88,0,0.98,4.91,406.41,0.98,0,0,3.93,0.98,1.96,2.94,0,5.89,57.92,0,1.96,5.89,1896.57,0,7.85,14.72,0,0,5.89,0,0.98,0,0,290.57,0.98,1.96,5.89,2.94,6.87
 84-94,0,0,1.06,0,14.87,6.37,1.06,300.56,1.06,1.06,4.25,277.19,1.06,0,1.06,1.06,3.19,4.25,0,0,8.5,58.41,1.06,3.19,2.12,1141.69,1.06,9.56,9.56,0,0,15.93,0,0,2.12,0,159.31,2.12,6.37,6.37,2.12,5.31
 96-106,0,0,1.09,0,33.88,7.65,0,287.42,3.28,2.19,2.19,276.49,4.37,0,0,7.65,2.19,2.19,5.46,2.19,6.56,73.22,0,1.09,4.37,1126.73,0,10.93,5.46,0,0,8.74,0,1.09,1.09,0,96.17,2.19,8.74,6.56,4.37,3.28
108-118,0,0,1.53,0.77,23.74,4.6,5.36,200.68,0.77,3.06,3.06,273.45,0.77,0,0.77,2.3,5.36,1.53,1.53,0.77,7.66,40.6,0,0.77,2.3,1340.44,0,9.19,13.79,0,1.53,5.36,0,0.77,0,0,73.53,0.77,6.13,3.06,2.3,3.06
120,0,0,0,0,19.6,1.96,3.92,219.5,1.96,1.96,0,264.57,1.96,0,0,3.92,0,3.92,1.96,5.88,0,50.95,0,7.84,5.88,1783.4,3.92,9.8,13.72,0,0,1.96,0,1.96,0,0,109.75,1.96,3.92,5.88,0,0
